5.000000	nan	nan
15.000000	-0.0000000	0.0005000
25.000000	0.0000000	0.0005000
35.000000	-0.0000000	0.0005000
45.000000	-0.0000000	0.0005000
55.000000	0.0000000	0.0005000
65.000000	0.0000000	0.0005000
75.000000	-0.0000000	0.0005000
85.000000	-0.0000021	0.0005000
95.000000	-0.0000002	0.0005000
105.000000	0.0000068	0.0005000
115.000000	0.0000148	0.0005001
125.000000	0.0000854	0.0005013
135.000000	0.0002770	0.0005089
145.000000	0.0003827	0.0005179
155.000000	0.0008427	0.0005684
165.000000	0.0011286	0.0006151
175.000000	0.0017580	0.0007396
185.000000	0.0019952	0.0007952
195.000000	0.0026228	0.0009478
205.000000	0.0031787	0.0010930
215.000000	0.0035944	0.0012049
225.000000	0.0036493	0.0012219
235.000000	0.0045734	0.0014769
245.000000	0.0043040	0.0014032
255.000000	0.0048928	0.0015692
265.000000	0.0055841	0.0017654
275.000000	0.0045445	0.0014739
285.000000	0.0059942	0.0018847
295.000000	0.0060070	0.0018887
305.000000	0.0059486	0.0018730
315.000000	0.0069208	0.0021534
325.000000	0.0062162	0.0019510
335.000000	0.0065902	0.0020589
345.000000	0.0068632	0.0021390
355.000000	0.0071452	0.0022203
365.000000	0.0071124	0.0022120
375.000000	0.0075368	0.0023353
385.000000	0.0085684	0.0026366
395.000000	0.0074544	0.0023123
405.000000	0.0078290	0.0024217
415.000000	0.0076971	0.0023846
425.000000	0.0080524	0.0024888
435.000000	0.0078403	0.0024282
445.000000	0.0075728	0.0023509
455.000000	0.0075842	0.0023546
465.000000	0.0083040	0.0025657
475.000000	0.0073756	0.0022962
485.000000	0.0070854	0.0022150
495.000000	0.0071523	0.0022355
505.000000	0.0075461	0.0023520
515.000000	0.0076102	0.0023715
525.000000	0.0081336	0.0025237
535.000000	0.0086307	0.0026710
545.000000	0.0076832	0.0023979
555.000000	0.0080153	0.0024965
565.000000	0.0079302	0.0024741
575.000000	0.0081138	0.0025301
585.000000	0.0082405	0.0025691
595.000000	0.0091260	0.0028292
605.000000	0.0087068	0.0027105
615.000000	0.0073452	0.0023256
625.000000	0.0074775	0.0023698
635.000000	0.0080804	0.0025451
645.000000	0.0079475	0.0025208
655.000000	0.0083550	0.0026428
665.000000	0.0083569	0.0026497
675.000000	0.0087401	0.0027785
685.000000	0.0080065	0.0025868
695.000000	0.0076443	0.0025039
705.000000	0.0070927	0.0023830
715.000000	0.0088870	0.0029061
725.000000	0.0090129	0.0029688
735.000000	0.0102887	0.0033552
745.000000	0.0106548	0.0034649
755.000000	0.0090232	0.0031819
765.000000	0.0088289	0.0031880
775.000000	0.0094270	0.0035050
785.000000	0.0118085	0.0041841
795.000000	0.0044144	0.0029796
805.000000	0.0141854	0.0051099
815.000000	0.0119679	0.0053758
825.000000	0.0058286	0.0044444
835.000000	0.0002168	0.0056756
845.000000	0.0057063	0.0063935
855.000000	0.0053946	0.0054875
865.000000	0.0029645	0.0085433
875.000000	0.0009047	0.0091334
885.000000	0.0003879	0.0169208
895.000000	0.0000000	0.0005000
905.000000	0.0000000	0.0005000
915.000000	0.0000000	0.0005000
925.000000	0.0000000	0.0005000
935.000000	0.0000000	0.0005000
945.000000	0.0000000	0.0005000
955.000000	0.0000000	0.0005000
965.000000	0.0000000	0.0005000
975.000000	nan	nan
985.000000	0.0000000	0.0005000
995.000000	0.0000000	0.0005000
