Abs(theta)	Type0		Type1		Type23
0.5		255		2		3
1.5		746		13		3
2.5		1229		17		11
3.5		1751		10		15
4.5		2239		24		22
5.5		2711		35		15
6.5		3215		31		19
7.5		3721		36		35
8.5		4199		37		27
9.5		4705		43		43
10.5		5182		56		36
11.5		5622		73		46
12.5		6128		70		58
13.5		6609		77		62
14.5		7056		79		65
15.5		7567		81		65
16.5		8017		103		75
17.5		8553		89		75
18.5		8965		113		91
19.5		9445		118		85
20.5		9858		108		99
21.5		10353		132		109
22.5		10815		139		109
23.5		11285		144		122
24.5		11697		160		87
25.5		12155		143		104
26.5		12579		172		115
27.5		12938		190		151
28.5		13447		179		129
29.5		13836		207		135
30.5		14267		237		151
31.5		14649		189		178
32.5		15025		247		156
33.5		15427		259		191
34.5		15831		243		169
35.5		16218		267		180
36.5		16525		283		203
37.5		16909		284		230
38.5		17307		337		226
39.5		17589		354		210
40.5		17980		357		232
41.5		18320		384		245
42.5		18629		411		240
43.5		18933		384		259
44.5		19242		409		269
45.5		19596		450		269
46.5		19814		491		295
47.5		20192		466		294
48.5		20484		530		298
49.5		20719		523		300
50.5		20995		559		337
51.5		21269		570		342
52.5		21481		606		374
53.5		21789		585		350
54.5		21976		623		399
55.5		22362		602		339
56.5		22483		673		368
57.5		22630		721		412
58.5		22895		733		422
59.5		23039		734		444
60.5		23163		741		494
61.5		23526		774		427
62.5		23575		839		459
63.5		23741		846		484
64.5		23981		845		494
65.5		24018		893		548
66.5		24220		896		548
67.5		24325		874		573
68.5		24456		976		564
69.5		24610		974		566
70.5		24664		922		607
71.5		24756		1038		578
72.5		24863		1054		592
73.5		24991		1046		570
74.5		25040		1129		587
75.5		25109		1094		640
76.5		25255		1065		679
77.5		25244		1054		659
78.5		25357		1141		649
79.5		25341		1119		675
80.5		25540		1115		630
81.5		25361		1201		657
82.5		25345		1134		690
83.5		25492		1141		700
84.5		25577		1180		719
85.5		25415		1211		709
86.5		25543		1122		738
87.5		25473		1174		743
88.5		25411		1254		776
89.5		24562		1117		729
