Abs(theta)	Type0		Type1		Type23
0.5		251		2		1
1.5		738		8		5
2.5		1219		11		14
3.5		1705		16		14
4.5		2200		21		9
5.5		2679		38		20
6.5		3167		34		28
7.5		3661		28		30
8.5		4139		43		30
9.5		4677		32		36
10.5		5086		56		46
11.5		5595		57		42
12.5		6082		65		46
13.5		6553		79		52
14.5		6984		87		56
15.5		7464		83		56
16.5		7948		94		62
17.5		8431		104		64
18.5		8867		111		69
19.5		9298		98		82
20.5		9753		129		77
21.5		10269		122		90
22.5		10648		140		110
23.5		11114		133		105
24.5		11549		148		115
25.5		12026		141		108
26.5		12401		159		125
27.5		12807		186		110
28.5		13221		208		146
29.5		13653		203		120
30.5		14016		237		155
31.5		14374		234		155
32.5		14852		230		156
33.5		15258		244		170
34.5		15556		259		180
35.5		16004		267		170
36.5		16374		302		171
37.5		16715		289		232
38.5		17087		323		195
39.5		17396		313		236
40.5		17749		379		196
41.5		17973		371		234
42.5		18467		395		254
43.5		18692		387		258
44.5		19023		422		283
45.5		19294		433		308
46.5		19656		450		314
47.5		19919		485		285
48.5		20163		500		326
49.5		20620		507		303
50.5		20746		524		332
51.5		21001		549		295
52.5		21278		559		362
53.5		21401		633		339
54.5		21786		618		331
55.5		21960		672		410
56.5		22203		628		380
57.5		22271		746		396
58.5		22616		721		419
59.5		22817		775		396
60.5		23003		714		439
61.5		23047		824		461
62.5		23268		820		455
63.5		23392		837		476
64.5		23494		883		498
65.5		23790		823		508
66.5		23838		891		512
67.5		24053		947		498
68.5		24070		942		545
69.5		24354		875		588
70.5		24371		951		562
71.5		24374		1070		610
72.5		24641		946		612
73.5		24704		1037		573
74.5		24629		1042		577
75.5		24805		1094		631
76.5		24955		1051		629
77.5		24919		1067		635
78.5		24912		1095		586
79.5		24972		1141		648
80.5		25009		1105		675
81.5		25188		1116		676
82.5		25242		1123		717
83.5		25288		1148		718
84.5		25161		1195		667
85.5		25277		1102		737
86.5		25258		1177		766
87.5		24732		1149		742
88.5		24804		1104		735
89.5		24450		1167		762
