Abs(theta)	Type0		Type1		Type23
0.5		188		1		1
1.5		540		5		2
2.5		836		7		7
3.5		1192		9		11
4.5		1595		13		14
5.5		1868		21		14
6.5		2382		20		17
7.5		2637		21		10
8.5		3053		34		16
9.5		3356		40		27
10.5		3661		39		30
11.5		3910		44		36
12.5		4360		53		34
13.5		4724		47		33
14.5		4957		56		40
15.5		5465		61		43
16.5		5761		68		53
17.5		6161		79		61
18.5		6235		94		53
19.5		6667		80		76
20.5		6990		92		72
21.5		7368		89		69
22.5		7822		105		59
23.5		7975		111		37
24.5		8404		108		75
25.5		8744		130		62
26.5		9044		121		84
27.5		9218		134		88
28.5		9594		160		100
29.5		9792		153		109
30.5		10167		170		92
31.5		10476		163		113
32.5		10802		199		129
33.5		11009		182		131
34.5		11260		199		146
35.5		11410		214		132
36.5		11914		216		131
37.5		12049		242		142
38.5		12200		256		168
39.5		12585		256		155
40.5		12876		283		174
41.5		13100		270		159
42.5		13472		314		168
43.5		13546		323		170
44.5		13707		352		188
45.5		13849		331		192
46.5		14184		349		192
47.5		14240		337		203
48.5		14710		384		198
49.5		14690		383		217
50.5		14970		402		219
51.5		15283		428		245
52.5		15326		476		247
53.5		15785		460		260
54.5		15670		471		258
55.5		15751		496		265
56.5		15903		513		306
57.5		16207		537		307
58.5		16443		528		312
59.5		16567		582		301
60.5		16662		576		296
61.5		16805		603		298
62.5		16714		573		320
63.5		17014		607		316
64.5		17387		632		324
65.5		17084		659		393
66.5		17324		733		357
67.5		17353		669		383
68.5		17322		692		392
69.5		17292		692		373
70.5		17352		772		422
71.5		17484		783		380
72.5		17655		732		390
73.5		17810		772		399
74.5		17941		806		458
75.5		17734		844		407
76.5		18195		835		423
77.5		18115		821		419
78.5		18004		816		460
79.5		18235		842		460
80.5		18153		808		473
81.5		18011		855		476
82.5		18235		914		433
83.5		18204		903		486
84.5		18057		873		448
85.5		18236		858		469
86.5		18052		866		543
87.5		18348		851		524
88.5		18277		835		526
89.5		17470		852		537
