Abs(theta)	Type0		Type1		Type23
0.5		169		2		5
1.5		528		2		7
2.5		907		4		7
3.5		1272		9		13
4.5		1624		12		9
5.5		1863		23		20
6.5		2271		19		16
7.5		2576		30		21
8.5		2960		21		22
9.5		3344		37		26
10.5		3764		61		27
11.5		4127		39		30
12.5		4252		56		35
13.5		4683		46		37
14.5		5105		60		42
15.5		5469		57		34
16.5		5696		46		45
17.5		6001		65		49
18.5		6548		72		46
19.5		6720		79		68
20.5		6963		86		56
21.5		7388		99		57
22.5		7609		103		62
23.5		8069		96		63
24.5		8430		112		70
25.5		8631		99		72
26.5		8894		128		85
27.5		9208		128		73
28.5		9679		129		101
29.5		9729		144		97
30.5		10160		166		117
31.5		10372		173		97
32.5		10668		176		109
33.5		11156		179		99
34.5		11072		211		126
35.5		11448		213		110
36.5		11836		222		132
37.5		12022		219		145
38.5		12268		241		148
39.5		12634		230		162
40.5		12684		265		157
41.5		13050		285		181
42.5		13218		305		194
43.5		13363		286		177
44.5		13806		351		201
45.5		14056		320		185
46.5		14476		354		204
47.5		14429		337		227
48.5		14289		390		235
49.5		15022		367		192
50.5		14889		453		224
51.5		15140		396		234
52.5		15373		432		250
53.5		15475		456		251
54.5		15553		451		272
55.5		15692		483		303
56.5		16177		498		261
57.5		16174		515		293
58.5		16071		540		261
59.5		16354		573		273
60.5		16368		549		331
61.5		16537		606		319
62.5		16632		620		334
63.5		16732		603		296
64.5		17145		626		314
65.5		17071		620		320
66.5		17280		633		369
67.5		17296		643		339
68.5		17338		694		358
69.5		17366		710		389
70.5		17691		720		378
71.5		17969		710		395
72.5		17655		749		423
73.5		17694		735		380
74.5		17903		771		444
75.5		17738		758		437
76.5		18002		852		447
77.5		18070		893		405
78.5		18143		811		425
79.5		18034		807		473
80.5		17934		840		470
81.5		18065		880		469
82.5		18051		810		470
83.5		18027		842		519
84.5		18359		850		482
85.5		18046		889		489
86.5		18288		846		499
87.5		17799		902		520
88.5		17706		855		479
89.5		17663		850		487
