Abs(theta)	Type0		Type1		Type23
0.5		245		4		3
1.5		720		11		1
2.5		1236		13		13
3.5		1731		26		12
4.5		2221		26		17
5.5		2740		27		15
6.5		3241		21		22
7.5		3711		36		27
8.5		4195		48		35
9.5		4687		46		47
10.5		5145		55		41
11.5		5670		60		54
12.5		6119		68		39
13.5		6607		76		60
14.5		7072		69		58
15.5		7609		93		55
16.5		8017		89		64
17.5		8492		105		67
18.5		8990		99		72
19.5		9408		127		98
20.5		9880		119		82
21.5		10339		117		110
22.5		10808		151		124
23.5		11250		152		111
24.5		11702		146		114
25.5		12060		196		125
26.5		12509		167		123
27.5		12963		179		120
28.5		13431		163		126
29.5		13838		208		125
30.5		14211		239		163
31.5		14620		236		138
32.5		15033		221		188
33.5		15350		275		147
34.5		15804		253		177
35.5		16168		304		200
36.5		16544		293		213
37.5		16879		324		214
38.5		17278		302		186
39.5		17635		339		250
40.5		17941		345		223
41.5		18305		358		243
42.5		18575		399		241
43.5		18946		386		263
44.5		19210		446		260
45.5		19552		449		311
46.5		19850		433		279
47.5		20237		506		284
48.5		20438		478		308
49.5		20735		527		341
50.5		20913		557		330
51.5		21266		540		331
52.5		21454		604		375
53.5		21772		574		360
54.5		21853		667		376
55.5		22207		666		361
56.5		22452		714		399
57.5		22705		689		399
58.5		22826		725		445
59.5		23056		725		455
60.5		23272		718		467
61.5		23305		776		488
62.5		23512		800		515
63.5		23604		866		484
64.5		23799		861		503
65.5		24091		835		500
66.5		24083		954		523
67.5		24323		872		527
68.5		24383		952		562
69.5		24603		927		572
70.5		24724		940		546
71.5		24750		1008		602
72.5		24873		1043		543
73.5		24993		985		605
74.5		25092		1021		616
75.5		25135		1039		633
76.5		25160		1132		650
77.5		25349		1080		641
78.5		25222		1191		699
79.5		25389		1121		657
80.5		25551		1092		655
81.5		25474		1167		640
82.5		25491		1181		704
83.5		25428		1147		706
84.5		25600		1163		718
85.5		25628		1100		786
86.5		25654		1190		720
87.5		25111		1113		771
88.5		25053		1144		748
89.5		24863		1138		725
