5	-nan	-nan
15	-nan	-nan
25	-0.02841601625	0.002252622768
35	-0.02956048908	0.001446544156
45	-0.02667009048	0.001075295748
55	-0.02738900788	0.0007960338355
65	-0.0280864674	0.0006159250526
75	-0.02990108392	0.0005135002605
85	-0.03077480286	0.0004714887964
95	-0.03147454339	0.0004466686399
105	-0.03375492195	0.000430844109
115	-0.03312852734	0.0004184046439
125	-0.0348928705	0.000409207355
135	-0.03567931868	0.0004008077774
145	-0.03719613411	0.0003935874873
155	-0.03748739959	0.0003875137026
165	-0.03839007242	0.0003824916217
175	-0.03873780537	0.0003783228476
185	-0.03981567123	0.0003751121802
195	-0.03959992137	0.0003723294917
205	-0.04099097678	0.0003700384899
215	-0.04159439727	0.000368600705
225	-0.04199193125	0.0003674721232
235	-0.04180530093	0.0003667338198
245	-0.04358186467	0.0003663092616
255	-0.04415401286	0.0003664463686
265	-0.04393695287	0.0003667434374
275	-0.04444171933	0.0003674803811
285	-0.04551639803	0.0003686388293
295	-0.04522057155	0.0003700281352
305	-0.04566072749	0.0003716700135
315	-0.04583837143	0.0003736928142
325	-0.04686193415	0.0003759590426
335	-0.04683242721	0.0003788424804
345	-0.04748247432	0.0003818878669
355	-0.0472018353	0.0003851250418
365	-0.04783996411	0.0003888340145
375	-0.04818609279	0.0003927720446
385	-0.04783156738	0.0003973553898
395	-0.04829503939	0.0004021287402
405	-0.04966065519	0.0004074797886
415	-0.04984309096	0.0004133324542
425	-0.05000055114	0.0004195757485
435	-0.04925073484	0.0004264160563
445	-0.04983176104	0.0004337070243
455	-0.0510189022	0.0004415303788
465	-0.05153413023	0.0004503232883
475	-0.05066806109	0.0004594125602
485	-0.05160037546	0.0004693580241
495	-0.0503540349	0.0004803235498
505	-0.05159651593	0.0004918982758
515	-0.05165185561	0.0005047736455
525	-0.0522030433	0.0005185233555
535	-0.05197945534	0.0005339360105
545	-0.05244795324	0.0005502583588
555	-0.05254786381	0.000568573541
565	-0.05391824486	0.0005880761503
575	-0.05301724526	0.0006099238061
585	-0.05225212339	0.0006343937024
595	-0.05259778674	0.0006603204573
605	-0.05348725658	0.0006897034071
615	-0.05279812885	0.0007228194562
625	-0.05245396204	0.000758885186
635	-0.05530319514	0.0008003044578
645	-0.05267141839	0.0008475790185
655	-0.05397045823	0.000900211894
665	-0.05357001689	0.0009605890975
675	-0.05474814258	0.001030054898
685	-0.05676151033	0.001113025897
695	-0.05378681243	0.00120580484
705	-0.05401004152	0.001316724156
715	-0.0561804143	0.001451831363
725	-0.05542684802	0.001609694533
735	-0.05568992104	0.001802763661
745	-0.05513706674	0.002034231669
755	-0.05436780624	0.002326167491
765	-0.06197021868	0.002677226869
775	-0.0611871624	0.003135365394
785	-0.04656335761	0.003698124022
795	-0.058352853	0.004423134419
805	-0.05290791943	0.005396490746
815	-0.0583880363	0.006608729604
825	-0.06522091461	0.008280777606
835	-0.05951414942	0.01045119461
845	-0.06509425573	0.01345250444
855	-0.05026081581	0.01757522309
865	-0.03229150422	0.02379773354
875	-0.08724754957	0.03219159384
885	-0.0629968295	0.04374875456
895	-0.07869389269	0.06209760909
905	-0.04631178165	0.08907267828
915	0.03855621138	0.1217810862
925	0.3064014667	0.1968990045
935	0.2038474502	0.3013676256
945	-0.06617794277	0.4342940986
955	-nan	-nan
965	-nan	-nan
975	-nan	-nan
985	-nan	-nan
995	-nan	-nan
