Abs(theta)	Type0		Type1		Type23
0.5		239		1		3
1.5		755		7		7
2.5		1249		11		7
3.5		1744		10		11
4.5		2223		19		20
5.5		2739		28		23
6.5		3228		31		20
7.5		3683		45		32
8.5		4184		39		27
9.5		4694		36		36
10.5		5162		66		33
11.5		5640		61		46
12.5		6179		52		47
13.5		6615		65		46
14.5		7120		70		63
15.5		7612		78		65
16.5		8068		80		70
17.5		8481		114		59
18.5		8967		119		80
19.5		9449		115		81
20.5		9972		115		85
21.5		10327		128		94
22.5		10776		155		101
23.5		11235		133		102
24.5		11659		165		97
25.5		12169		143		111
26.5		12556		170		127
27.5		13024		174		106
28.5		13407		190		131
29.5		13792		215		149
30.5		14224		229		142
31.5		14545		237		167
32.5		15044		247		161
33.5		15433		249		174
34.5		15829		271		160
35.5		16243		283		179
36.5		16542		305		202
37.5		16867		358		196
38.5		17298		353		218
39.5		17671		321		213
40.5		18064		354		244
41.5		18340		405		229
42.5		18596		362		273
43.5		18846		410		305
44.5		19302		424		302
45.5		19589		472		254
46.5		19846		480		283
47.5		20115		489		310
48.5		20513		501		307
49.5		20702		548		332
50.5		20993		584		348
51.5		21225		637		318
52.5		21537		565		320
53.5		21699		631		366
54.5		21923		631		366
55.5		22381		613		389
56.5		22418		663		398
57.5		22636		688		399
58.5		22791		791		412
59.5		23071		730		440
60.5		23227		788		447
61.5		23402		779		498
62.5		23538		831		448
63.5		23779		859		505
64.5		24018		861		488
65.5		24021		896		515
66.5		24203		838		529
67.5		24374		936		548
68.5		24499		902		583
69.5		24657		937		537
70.5		24746		936		552
71.5		24768		988		571
72.5		24956		998		614
73.5		25031		1026		582
74.5		25019		1018		619
75.5		25149		1072		596
76.5		25174		1095		626
77.5		25234		1115		669
78.5		25375		1111		651
79.5		25376		1159		656
80.5		25453		1072		676
81.5		25254		1169		671
82.5		25351		1145		663
83.5		25351		1095		725
84.5		25430		1136		746
85.5		25445		1217		710
86.5		25262		1158		764
87.5		24892		1148		729
88.5		24257		1128		783
89.5		23278		1049		708
