Abs(theta)	Type0		Type1		Type23
0.5		511		3		4
1.5		1514		18		8
2.5		2482		26		17
3.5		3495		32		25
4.5		4504		44		31
5.5		5519		56		46
6.5		6527		63		45
7.5		7496		66		62
8.5		8515		92		57
9.5		9478		98		68
10.5		10432		122		89
11.5		11381		117		98
12.5		12455		135		91
13.5		13383		144		100
14.5		14362		159		124
15.5		15281		172		124
16.5		16267		206		136
17.5		17169		194		151
18.5		18188		206		152
19.5		18975		255		170
20.5		19939		281		152
21.5		21010		264		172
22.5		21836		261		195
23.5		22790		296		203
24.5		23599		322		234
25.5		24491		358		211
26.5		25327		381		227
27.5		26322		386		228
28.5		27007		411		265
29.5		27895		464		270
30.5		28641		467		333
31.5		29632		486		277
32.5		30326		523		314
33.5		31125		515		356
34.5		31909		595		325
35.5		32706		631		396
36.5		33418		654		371
37.5		34195		676		388
38.5		34987		630		422
39.5		35713		726		469
40.5		36373		738		429
41.5		36978		770		496
42.5		37709		765		508
43.5		38194		911		484
44.5		38996		875		536
45.5		39727		882		511
46.5		40101		990		597
47.5		40831		983		579
48.5		41364		1040		610
49.5		41837		1153		618
50.5		42433		1139		658
51.5		42902		1216		705
52.5		43443		1278		652
53.5		43979		1294		670
54.5		44398		1377		723
55.5		44890		1384		759
56.5		45456		1393		753
57.5		45712		1480		811
58.5		46329		1518		751
59.5		46731		1511		865
60.5		47100		1576		836
61.5		47263		1618		895
62.5		47642		1785		945
63.5		47880		1732		967
64.5		48463		1767		901
65.5		48617		1830		1013
66.5		48975		1938		974
67.5		49251		1902		1007
68.5		49399		2056		1034
69.5		49678		2022		1093
70.5		49995		2029		1090
71.5		50058		2151		1086
72.5		50350		2118		1133
73.5		50266		2106		1195
74.5		50673		2198		1155
75.5		50767		2249		1212
76.5		50890		2232		1215
77.5		51228		2231		1215
78.5		51183		2316		1299
79.5		51265		2328		1261
80.5		51219		2396		1314
81.5		51395		2443		1238
82.5		51748		2379		1303
83.5		51429		2449		1267
84.5		51438		2437		1380
85.5		51204		2427		1461
86.5		51252		2437		1429
87.5		50442		2354		1405
88.5		49792		2279		1450
89.5		47050		2207		1400
