Abs(theta)	Type0		Type1		Type23
0.5		484		6		1
1.5		1514		18		14
2.5		2534		29		18
3.5		3495		48		34
4.5		4558		38		29
5.5		5501		46		32
6.5		6499		68		45
7.5		7550		66		50
8.5		8458		90		52
9.5		9501		87		74
10.5		10502		106		77
11.5		11424		118		103
12.5		12439		125		86
13.5		13380		138		125
14.5		14363		150		110
15.5		15292		184		110
16.5		16267		188		126
17.5		17211		215		157
18.5		18164		222		134
19.5		19119		231		160
20.5		19930		292		181
21.5		20933		284		180
22.5		21896		289		158
23.5		22710		307		208
24.5		23659		308		211
25.5		24529		320		234
26.5		25284		406		253
27.5		26217		387		254
28.5		27123		429		237
29.5		27936		442		303
30.5		28750		446		304
31.5		29512		508		323
32.5		30331		516		315
33.5		31223		507		358
34.5		31919		547		335
35.5		32697		611		367
36.5		33373		644		386
37.5		34124		632		392
38.5		34863		727		383
39.5		35658		766		443
40.5		36466		702		445
41.5		37033		790		506
42.5		37599		864		490
43.5		38329		864		502
44.5		39046		949		497
45.5		39615		915		520
46.5		40284		971		594
47.5		40818		1014		577
48.5		41293		1067		601
49.5		41892		1101		593
50.5		42386		1186		673
51.5		43010		1199		659
52.5		43689		1168		686
53.5		44059		1247		730
54.5		44441		1272		743
55.5		44974		1401		736
56.5		45411		1445		786
57.5		45846		1450		806
58.5		46254		1539		786
59.5		46562		1636		825
60.5		47028		1606		861
61.5		47330		1653		887
62.5		47621		1688		920
63.5		48132		1717		951
64.5		48394		1828		955
65.5		48593		1867		1020
66.5		49089		1866		970
67.5		49193		1958		1031
68.5		49510		2080		1064
69.5		49717		2018		1073
70.5		50040		2020		1144
71.5		50229		2114		1106
72.5		50276		2140		1124
73.5		50574		2239		1176
74.5		50714		2102		1171
75.5		50859		2232		1225
76.5		51062		2314		1225
77.5		51289		2327		1258
78.5		51315		2287		1179
79.5		51622		2288		1258
80.5		51403		2389		1323
81.5		51541		2374		1302
82.5		51381		2516		1298
83.5		51583		2440		1379
84.5		51650		2439		1368
85.5		51459		2459		1410
86.5		51675		2439		1483
87.5		51860		2339		1393
88.5		51590		2492		1461
89.5		49811		2489		1477
