Abs(theta)	Type0		Type1		Type23
0.5		251		2		0
1.5		736		2		1
2.5		1247		10		10
3.5		1730		21		11
4.5		2229		20		21
5.5		2706		27		23
6.5		3205		37		23
7.5		3696		39		38
8.5		4179		52		25
9.5		4676		53		41
10.5		5173		55		47
11.5		5658		64		43
12.5		6157		63		50
13.5		6604		70		59
14.5		7077		72		55
15.5		7607		76		64
16.5		8049		90		78
17.5		8511		118		85
18.5		8956		104		72
19.5		9401		120		92
20.5		9827		136		96
21.5		10327		138		91
22.5		10796		155		98
23.5		11296		150		102
24.5		11642		140		112
25.5		12109		157		118
26.5		12602		157		128
27.5		12950		192		149
28.5		13416		192		141
29.5		13788		212		133
30.5		14207		213		159
31.5		14621		220		157
32.5		15033		225		158
33.5		15404		244		190
34.5		15854		279		168
35.5		16205		281		187
36.5		16574		257		198
37.5		16889		307		192
38.5		17259		327		224
39.5		17617		330		248
40.5		17999		346		254
41.5		18367		373		233
42.5		18586		427		266
43.5		18898		408		260
44.5		19286		432		258
45.5		19504		443		279
46.5		19862		473		315
47.5		20133		522		265
48.5		20451		486		301
49.5		20678		543		352
50.5		20995		549		338
51.5		21260		577		364
52.5		21496		603		377
53.5		21789		596		350
54.5		21998		617		377
55.5		22249		646		425
56.5		22284		713		445
57.5		22642		681		437
58.5		22770		715		438
59.5		23044		751		431
60.5		23223		777		449
61.5		23418		766		469
62.5		23584		844		475
63.5		23750		849		471
64.5		23940		872		484
65.5		24002		910		503
66.5		24240		912		530
67.5		24380		940		524
68.5		24474		946		599
69.5		24585		984		548
70.5		24834		919		587
71.5		24744		1022		576
72.5		24903		1012		554
73.5		24989		1011		601
74.5		25090		1038		618
75.5		25164		1057		634
76.5		25218		1119		602
77.5		25315		1116		631
78.5		25341		1084		654
79.5		25413		1130		667
80.5		25482		1080		675
81.5		25467		1133		675
82.5		25488		1126		668
83.5		25518		1099		642
84.5		25463		1129		683
85.5		25518		1117		750
86.5		25206		1148		754
87.5		25010		1144		788
88.5		24588		1090		700
89.5		23307		1055		680
