Abs(theta)	Type0		Type1		Type23
0.5		241		4		1
1.5		741		5		5
2.5		1223		14		16
3.5		1698		19		16
4.5		2220		19		10
5.5		2709		25		19
6.5		3183		31		26
7.5		3672		38		27
8.5		4156		44		37
9.5		4628		55		42
10.5		5159		48		48
11.5		5647		50		40
12.5		6062		66		57
13.5		6593		71		44
14.5		7042		80		59
15.5		7499		86		65
16.5		7971		90		52
17.5		8454		97		70
18.5		8862		103		68
19.5		9299		122		77
20.5		9860		94		80
21.5		10246		144		91
22.5		10678		146		101
23.5		11135		151		107
24.5		11590		133		95
25.5		12040		161		118
26.5		12457		170		118
27.5		12839		201		133
28.5		13300		197		123
29.5		13716		207		131
30.5		14119		196		138
31.5		14505		209		147
32.5		14901		237		158
33.5		15306		251		176
34.5		15701		254		168
35.5		16033		271		183
36.5		16397		280		181
37.5		16753		332		206
38.5		17090		339		202
39.5		17514		342		187
40.5		17800		371		200
41.5		18093		380		248
42.5		18466		401		229
43.5		18807		414		246
44.5		19075		414		264
45.5		19352		478		289
46.5		19638		449		290
47.5		19992		473		302
48.5		20146		498		312
49.5		20527		496		294
50.5		20875		548		308
51.5		21010		597		329
52.5		21304		606		342
53.5		21493		641		369
54.5		21945		602		331
55.5		21900		712		398
56.5		22154		668		424
57.5		22377		701		399
58.5		22719		677		432
59.5		22895		768		427
60.5		23046		744		451
61.5		23110		765		466
62.5		23355		817		448
63.5		23582		831		466
64.5		23646		850		495
65.5		23876		846		488
66.5		23981		892		540
67.5		23997		907		515
68.5		24219		892		541
69.5		24377		906		545
70.5		24560		896		587
71.5		24561		998		602
72.5		24728		1002		568
73.5		24788		1013		616
74.5		24811		1048		626
75.5		24887		1058		668
76.5		24982		1034		634
77.5		25027		1070		659
78.5		25221		1068		660
79.5		25133		1115		642
80.5		25188		1110		640
81.5		25113		1164		705
82.5		25261		1167		669
83.5		25168		1146		683
84.5		25332		1186		682
85.5		25142		1167		730
86.5		25247		1150		724
87.5		25352		1174		814
88.5		25315		1192		801
89.5		24202		1107		809
