Abs(theta)	Type0		Type1		Type23
0.5		154		0		1
1.5		480		6		3
2.5		827		5		7
3.5		1152		11		13
4.5		1489		9		9
5.5		1776		22		17
6.5		2135		25		19
7.5		2522		27		23
8.5		2659		32		24
9.5		3187		46		22
10.5		3382		28		27
11.5		3790		40		30
12.5		4044		56		44
13.5		4416		53		46
14.5		4722		53		32
15.5		5002		48		32
16.5		5396		72		48
17.5		5686		67		40
18.5		6026		78		54
19.5		6259		93		54
20.5		6591		66		57
21.5		6981		107		59
22.5		6993		88		63
23.5		7559		97		49
24.5		7844		112		72
25.5		7941		112		74
26.5		8337		126		90
27.5		8686		137		76
28.5		8810		144		77
29.5		9057		138		87
30.5		9514		132		109
31.5		9630		144		91
32.5		9981		168		107
33.5		10109		180		105
34.5		10404		181		131
35.5		10586		188		100
36.5		11047		213		118
37.5		11037		219		116
38.5		11598		217		140
39.5		11819		218		141
40.5		11867		255		135
41.5		12150		282		169
42.5		12313		270		146
43.5		12518		264		155
44.5		12776		303		187
45.5		12982		316		168
46.5		13314		298		177
47.5		13185		318		196
48.5		13574		361		177
49.5		13608		378		224
50.5		13809		374		201
51.5		14175		404		215
52.5		14357		404		206
53.5		14408		413		200
54.5		14790		405		238
55.5		14761		447		248
56.5		14668		443		264
57.5		14888		501		283
58.5		15226		521		265
59.5		15328		514		291
60.5		15452		530		296
61.5		15294		528		274
62.5		15711		578		282
63.5		15814		531		285
64.5		15966		557		294
65.5		15692		653		283
66.5		15942		641		343
67.5		15982		653		317
68.5		16211		628		341
69.5		16094		656		347
70.5		16302		656		385
71.5		16388		695		374
72.5		16424		750		384
73.5		16574		712		365
74.5		16543		686		384
75.5		16654		763		378
76.5		16690		700		405
77.5		16481		793		372
78.5		16662		774		383
79.5		16807		803		411
80.5		16975		769		423
81.5		16878		766		426
82.5		16733		774		401
83.5		16725		843		459
84.5		17089		885		409
85.5		16702		725		471
86.5		16769		765		482
87.5		16554		777		486
88.5		16005		769		474
89.5		15652		738		437
