Abs(theta)	Type0		Type1		Type23
0.5		247		3		1
1.5		737		7		6
2.5		1241		9		11
3.5		1737		16		11
4.5		2222		23		16
5.5		2698		32		24
6.5		3229		26		35
7.5		3719		43		30
8.5		4195		38		23
9.5		4702		50		51
10.5		5184		49		40
11.5		5639		68		59
12.5		6132		68		51
13.5		6667		83		50
14.5		7115		76		50
15.5		7572		88		50
16.5		8025		88		68
17.5		8525		104		85
18.5		8955		98		82
19.5		9429		121		74
20.5		9928		126		70
21.5		10310		125		98
22.5		10763		141		97
23.5		11300		116		97
24.5		11755		147		100
25.5		12117		165		118
26.5		12523		190		138
27.5		12950		191		133
28.5		13421		164		135
29.5		13813		201		139
30.5		14253		208		163
31.5		14655		204		152
32.5		14982		264		183
33.5		15377		276		177
34.5		15841		260		175
35.5		16236		270		179
36.5		16570		280		204
37.5		16955		305		213
38.5		17198		353		198
39.5		17678		350		219
40.5		17965		353		218
41.5		18256		346		249
42.5		18647		390		230
43.5		18908		421		244
44.5		19273		398		265
45.5		19557		439		281
46.5		19810		495		291
47.5		20265		452		285
48.5		20424		518		338
49.5		20827		505		341
50.5		20968		550		326
51.5		21246		585		354
52.5		21496		577		347
53.5		21888		582		392
54.5		21970		642		384
55.5		22228		642		374
56.5		22449		662		385
57.5		22605		696		412
58.5		22868		732		413
59.5		23117		698		459
60.5		23238		718		447
61.5		23345		787		435
62.5		23540		839		457
63.5		23789		831		454
64.5		23926		857		510
65.5		24090		860		511
66.5		24123		933		566
67.5		24300		958		526
68.5		24436		938		498
69.5		24571		992		544
70.5		24661		984		567
71.5		24812		987		582
72.5		25024		994		586
73.5		24860		1084		642
74.5		25064		1068		620
75.5		25277		1072		618
76.5		25233		1105		605
77.5		25237		1082		625
78.5		25374		1087		669
79.5		25326		1103		693
80.5		25336		1114		662
81.5		25360		1114		711
82.5		25338		1138		698
83.5		25489		1188		697
84.5		25444		1113		717
85.5		25297		1164		701
86.5		25411		1155		738
87.5		24885		1174		729
88.5		24581		1157		756
89.5		23183		1091		721
