Abs(theta)	Type0		Type1		Type23
0.5		487		7		3
1.5		1475		14		14
2.5		2469		26		17
3.5		3450		44		26
4.5		4452		36		30
5.5		5405		45		35
6.5		6384		67		48
7.5		7353		74		58
8.5		8394		76		68
9.5		9346		101		69
10.5		10275		111		89
11.5		11224		128		83
12.5		12191		135		101
13.5		13214		143		98
14.5		14101		171		111
15.5		15024		187		102
16.5		16024		192		132
17.5		16884		217		140
18.5		17876		231		149
19.5		18827		236		137
20.5		19652		255		169
21.5		20537		273		191
22.5		21449		277		195
23.5		22381		301		205
24.5		23259		321		205
25.5		24073		330		252
26.5		24998		367		228
27.5		25874		370		218
28.5		26626		375		240
29.5		27435		475		290
30.5		28239		436		276
31.5		29099		476		287
32.5		29844		542		287
33.5		30543		532		338
34.5		31485		572		317
35.5		32165		563		387
36.5		32938		585		344
37.5		33633		634		387
38.5		34308		679		421
39.5		35055		719		426
40.5		35735		794		466
41.5		36371		742		478
42.5		37050		788		499
43.5		37744		825		434
44.5		38332		910		515
45.5		38978		870		516
46.5		39406		973		530
47.5		40246		993		531
48.5		40510		1138		556
49.5		41178		1104		667
50.5		41750		1126		696
51.5		42249		1163		673
52.5		42748		1224		685
53.5		43416		1228		669
54.5		43716		1339		727
55.5		44346		1350		741
56.5		44579		1471		762
57.5		45202		1481		749
58.5		45501		1470		822
59.5		45945		1493		810
60.5		46267		1635		856
61.5		46599		1634		867
62.5		46850		1716		958
63.5		47294		1742		936
64.5		47642		1706		974
65.5		47738		1866		1015
66.5		48208		1885		1012
67.5		48480		1880		1022
68.5		48744		1957		1019
69.5		48889		1994		1032
70.5		49185		2039		1069
71.5		49449		2063		1068
72.5		49545		2000		1153
73.5		49668		2197		1051
74.5		50005		2111		1194
75.5		50178		2051		1121
76.5		50236		2189		1179
77.5		50435		2225		1224
78.5		50411		2320		1213
79.5		50609		2313		1238
80.5		50600		2312		1200
81.5		50659		2368		1295
82.5		50881		2380		1295
83.5		50817		2401		1292
84.5		50738		2351		1384
85.5		50917		2347		1383
86.5		50580		2453		1391
87.5		50611		2431		1436
88.5		50748		2548		1562
89.5		48845		2413		1463
