Abs(theta)	Type0		Type1		Type23
0.5		505		4		3
1.5		1488		13		12
2.5		2518		25		18
3.5		3493		30		25
4.5		4462		56		41
5.5		5440		60		43
6.5		6438		80		48
7.5		7443		85		50
8.5		8396		99		57
9.5		9369		99		61
10.5		10359		117		72
11.5		11342		123		94
12.5		12331		141		95
13.5		13249		159		103
14.5		14214		183		104
15.5		15162		174		116
16.5		16126		220		129
17.5		17033		204		149
18.5		18063		197		144
19.5		18881		220		156
20.5		19788		252		161
21.5		20792		268		172
22.5		21626		318		183
23.5		22505		310		194
24.5		23386		321		224
25.5		24251		369		239
26.5		25135		359		251
27.5		26026		361		278
28.5		26840		410		258
29.5		27601		448		285
30.5		28503		418		293
31.5		29290		466		320
32.5		30095		488		352
33.5		30972		499		348
34.5		31645		539		341
35.5		32440		570		363
36.5		33215		600		384
37.5		33881		618		372
38.5		34527		660		451
39.5		35375		681		406
40.5		36068		744		408
41.5		36711		779		435
42.5		37341		840		464
43.5		37896		915		460
44.5		38523		914		562
45.5		39276		920		550
46.5		39867		979		546
47.5		40485		1025		591
48.5		40936		1104		593
49.5		41422		1123		628
50.5		42156		1117		603
51.5		42557		1232		608
52.5		43100		1249		648
53.5		43743		1231		684
54.5		43981		1368		657
55.5		44527		1406		650
56.5		44981		1447		734
57.5		45338		1522		759
58.5		45886		1495		806
59.5		46166		1551		905
60.5		46587		1572		859
61.5		46996		1618		902
62.5		47366		1623		861
63.5		47850		1675		891
64.5		47927		1742		979
65.5		48256		1786		966
66.5		48438		1894		988
67.5		48800		1924		994
68.5		49029		1943		1067
69.5		49180		2047		1042
70.5		49574		1997		1097
71.5		49643		2108		1060
72.5		49886		2169		1129
73.5		50204		2163		1159
74.5		50180		2219		1187
75.5		50493		2201		1129
76.5		50575		2277		1160
77.5		50818		2259		1148
78.5		50909		2248		1231
79.5		50746		2364		1307
80.5		50779		2396		1188
81.5		51200		2352		1252
82.5		51135		2360		1296
83.5		50713		2361		1349
84.5		50758		2379		1306
85.5		50860		2456		1372
86.5		51332		2379		1452
87.5		49949		2416		1423
88.5		49199		2273		1347
89.5		46774		2168		1440
