Abs(theta)	Type0		Type1		Type23
0.5		176		3		1
1.5		570		8		3
2.5		912		9		8
3.5		1250		17		12
4.5		1603		20		14
5.5		1906		18		13
6.5		2282		29		17
7.5		2642		18		23
8.5		3010		25		19
9.5		3355		37		20
10.5		3736		43		32
11.5		4012		40		27
12.5		4428		64		36
13.5		4705		58		34
14.5		5160		55		21
15.5		5262		67		51
16.5		5875		82		62
17.5		6093		87		43
18.5		6422		60		53
19.5		6687		86		50
20.5		7140		81		54
21.5		7354		98		50
22.5		7585		121		53
23.5		7990		122		68
24.5		8363		82		77
25.5		8614		137		87
26.5		9074		129		80
27.5		9213		135		74
28.5		9607		142		94
29.5		10014		155		101
30.5		10041		162		107
31.5		10435		176		108
32.5		10838		174		107
33.5		10917		195		119
34.5		11240		205		115
35.5		11599		223		140
36.5		11762		234		136
37.5		12060		196		130
38.5		12432		225		149
39.5		12551		229		161
40.5		12865		254		184
41.5		13166		297		176
42.5		13397		257		171
43.5		13542		335		182
44.5		13593		307		153
45.5		14148		344		186
46.5		14121		341		179
47.5		14394		387		208
48.5		14466		402		206
49.5		14599		419		201
50.5		14992		417		212
51.5		15199		453		231
52.5		15508		426		264
53.5		15623		431		245
54.5		15739		481		264
55.5		16139		468		274
56.5		16129		525		278
57.5		16238		509		297
58.5		16159		580		266
59.5		16347		553		325
60.5		16544		570		297
61.5		16622		615		325
62.5		16975		619		328
63.5		16733		588		332
64.5		16799		605		307
65.5		17114		685		355
66.5		17380		659		361
67.5		17378		712		368
68.5		17517		686		351
69.5		17493		722		428
70.5		17377		649		397
71.5		17920		748		404
72.5		17660		692		417
73.5		17756		776		392
74.5		18020		777		445
75.5		17830		759		438
76.5		18021		798		425
77.5		18237		844		453
78.5		17963		845		394
79.5		18384		808		451
80.5		18363		784		434
81.5		17994		828		426
82.5		18165		857		477
83.5		17903		821		450
84.5		18060		895		495
85.5		17939		892		498
86.5		18431		872		484
87.5		18142		889		537
88.5		18161		838		525
89.5		17344		902		490
