Abs(theta)	Type0		Type1		Type23
0.5		265		1		2
1.5		742		6		8
2.5		1231		8		14
3.5		1747		16		14
4.5		2235		22		16
5.5		2742		32		24
6.5		3211		39		28
7.5		3687		39		29
8.5		4216		39		33
9.5		4709		49		27
10.5		5166		54		48
11.5		5661		47		35
12.5		6142		63		45
13.5		6633		77		51
14.5		7087		74		67
15.5		7581		86		62
16.5		8061		83		61
17.5		8511		96		82
18.5		9038		97		82
19.5		9423		106		100
20.5		9950		112		75
21.5		10384		128		87
22.5		10774		148		92
23.5		11221		157		129
24.5		11698		156		116
25.5		12073		181		123
26.5		12520		185		106
27.5		12942		202		140
28.5		13422		192		153
29.5		13837		190		135
30.5		14212		228		158
31.5		14589		233		163
32.5		15027		239		183
33.5		15378		238		169
34.5		15835		243		173
35.5		16227		269		173
36.5		16540		317		194
37.5		16912		301		212
38.5		17318		339		190
39.5		17635		342		239
40.5		18035		349		197
41.5		18344		373		249
42.5		18589		386		264
43.5		18969		409		244
44.5		19248		437		268
45.5		19620		435		268
46.5		19830		521		316
47.5		20164		451		284
48.5		20450		511		321
49.5		20809		521		316
50.5		20973		543		330
51.5		21211		583		340
52.5		21567		555		381
53.5		21758		625		377
54.5		21975		613		400
55.5		22319		654		387
56.5		22495		616		391
57.5		22667		740		437
58.5		22938		714		421
59.5		23028		779		461
60.5		23248		783		425
61.5		23429		799		436
62.5		23667		834		477
63.5		23812		835		507
64.5		23958		855		527
65.5		24053		899		524
66.5		24170		919		520
67.5		24341		904		531
68.5		24475		939		553
69.5		24588		924		601
70.5		24707		950		569
71.5		24718		979		546
72.5		24904		1006		570
73.5		25074		1048		655
74.5		25102		1072		590
75.5		25193		1057		604
76.5		25199		1083		630
77.5		25200		1138		674
78.5		25238		1115		644
79.5		25356		1077		653
80.5		25490		1160		691
81.5		25382		1072		652
82.5		25421		1159		685
83.5		25514		1137		676
84.5		25600		1146		650
85.5		25546		1155		751
86.5		25416		1214		715
87.5		25462		1131		793
88.5		25478		1226		728
89.5		24712		1145		730
