Abs(theta)	Type0		Type1		Type23
0.5		252		2		0
1.5		730		7		3
2.5		1249		9		6
3.5		1724		22		11
4.5		2211		20		20
5.5		2718		31		17
6.5		3232		35		22
7.5		3702		47		31
8.5		4205		38		36
9.5		4664		58		47
10.5		5170		51		47
11.5		5667		62		43
12.5		6122		60		54
13.5		6611		74		51
14.5		7126		79		64
15.5		7582		61		81
16.5		8047		85		67
17.5		8491		103		82
18.5		8941		109		73
19.5		9442		98		76
20.5		9886		126		87
21.5		10344		113		91
22.5		10810		152		96
23.5		11204		147		101
24.5		11642		168		111
25.5		12108		166		99
26.5		12522		177		130
27.5		12982		165		119
28.5		13415		196		123
29.5		13821		226		144
30.5		14214		221		162
31.5		14641		248		181
32.5		15068		202		175
33.5		15434		240		181
34.5		15749		260		172
35.5		16227		268		191
36.5		16593		315		205
37.5		16943		283		201
38.5		17237		300		246
39.5		17606		314		216
40.5		17963		377		215
41.5		18276		395		237
42.5		18621		357		245
43.5		18944		392		238
44.5		19300		430		276
45.5		19602		400		321
46.5		19943		416		293
47.5		20187		460		308
48.5		20462		557		293
49.5		20745		537		304
50.5		21078		522		319
51.5		21199		592		367
52.5		21512		606		336
53.5		21783		578		333
54.5		22026		602		348
55.5		22214		661		354
56.5		22437		672		405
57.5		22742		654		429
58.5		22823		714		446
59.5		23023		742		441
60.5		23170		781		434
61.5		23414		788		466
62.5		23574		827		470
63.5		23754		827		472
64.5		23872		846		463
65.5		24023		895		502
66.5		24223		920		566
67.5		24337		908		521
68.5		24514		972		517
69.5		24519		960		563
70.5		24646		986		591
71.5		24805		1016		597
72.5		24854		993		633
73.5		24975		1025		591
74.5		25036		1070		600
75.5		25209		1061		631
76.5		25196		1067		641
77.5		25268		1072		634
78.5		25314		1092		647
79.5		25391		1122		685
80.5		25207		1146		646
81.5		25481		1134		653
82.5		25418		1128		660
83.5		25433		1156		717
84.5		25575		1135		688
85.5		25393		1169		713
86.5		25311		1179		728
87.5		24722		1146		745
88.5		24216		1106		768
89.5		23354		1097		715
