Abs(theta)	Type0		Type1		Type23
0.5		501		7		6
1.5		1498		15		16
2.5		2539		26		20
3.5		3520		39		31
4.5		4526		40		44
5.5		5553		48		43
6.5		6480		72		60
7.5		7483		84		58
8.5		8507		87		57
9.5		9442		107		76
10.5		10459		98		93
11.5		11464		122		67
12.5		12378		142		89
13.5		13441		128		88
14.5		14329		169		107
15.5		15286		173		107
16.5		16263		190		116
17.5		17238		205		161
18.5		18117		216		162
19.5		19124		244		143
20.5		20044		249		162
21.5		20900		283		175
22.5		21894		268		200
23.5		22706		328		195
24.5		23610		331		218
25.5		24465		377		205
26.5		25407		339		215
27.5		26234		392		250
28.5		27089		427		273
29.5		27886		423		273
30.5		28757		466		290
31.5		29542		481		292
32.5		30395		479		316
33.5		31138		533		337
34.5		31943		569		360
35.5		32686		634		359
36.5		33303		656		391
37.5		34186		651		388
38.5		34961		654		403
39.5		35586		717		383
40.5		36345		796		426
41.5		37026		779		448
42.5		37833		784		494
43.5		38382		887		510
44.5		38985		923		550
45.5		39541		995		533
46.5		40325		962		545
47.5		40602		1050		606
48.5		41216		1047		657
49.5		41958		1133		618
50.5		42530		1074		632
51.5		43056		1175		636
52.5		43461		1243		689
53.5		44001		1330		695
54.5		44630		1271		714
55.5		44954		1376		811
56.5		45290		1507		745
57.5		45694		1566		812
58.5		46163		1475		810
59.5		46699		1523		845
60.5		47126		1574		826
61.5		47337		1686		870
62.5		47741		1747		895
63.5		47996		1709		934
64.5		48305		1765		975
65.5		48796		1792		962
66.5		48929		1888		1039
67.5		49105		1954		1092
68.5		49555		1937		1069
69.5		49724		2046		1071
70.5		49851		2060		1110
71.5		50182		2179		1136
72.5		50346		2187		1158
73.5		50472		2135		1166
74.5		50722		2199		1191
75.5		50798		2216		1237
76.5		50873		2369		1215
77.5		51301		2282		1226
78.5		51386		2261		1249
79.5		51439		2344		1274
80.5		51347		2367		1281
81.5		51546		2366		1369
82.5		51535		2456		1335
83.5		51474		2413		1394
84.5		51847		2447		1402
85.5		51525		2432		1384
86.5		51802		2460		1427
87.5		51717		2419		1477
88.5		51550		2460		1469
89.5		49625		2407		1471
