Abs(theta)	Type0		Type1		Type23
0.5		246		2		1
1.5		747		6		2
2.5		1217		7		18
3.5		1705		17		9
4.5		2192		26		21
5.5		2694		24		18
6.5		3138		30		25
7.5		3679		27		25
8.5		4181		37		22
9.5		4625		55		35
10.5		5090		64		45
11.5		5622		57		31
12.5		6085		73		45
13.5		6544		63		61
14.5		7025		81		47
15.5		7498		81		48
16.5		7924		95		66
17.5		8447		101		64
18.5		8899		96		90
19.5		9398		111		87
20.5		9814		110		93
21.5		10248		137		103
22.5		10684		134		116
23.5		11124		143		113
24.5		11557		142		112
25.5		11995		169		111
26.5		12457		173		116
27.5		12917		158		118
28.5		13286		201		142
29.5		13684		198		149
30.5		14088		218		151
31.5		14482		227		144
32.5		14886		238		159
33.5		15280		255		169
34.5		15689		247		153
35.5		15987		311		167
36.5		16369		322		194
37.5		16760		299		207
38.5		17180		307		214
39.5		17490		360		206
40.5		17817		349		206
41.5		18232		367		235
42.5		18508		403		250
43.5		18777		389		239
44.5		19086		444		274
45.5		19424		460		274
46.5		19654		453		288
47.5		19994		479		280
48.5		20229		541		298
49.5		20528		494		306
50.5		20800		536		342
51.5		21084		529		330
52.5		21229		627		332
53.5		21504		611		355
54.5		21783		632		379
55.5		22060		657		359
56.5		22295		657		379
57.5		22423		713		392
58.5		22575		707		441
59.5		22851		699		426
60.5		23042		742		432
61.5		23191		793		469
62.5		23292		817		503
63.5		23523		804		512
64.5		23700		832		479
65.5		23830		889		513
66.5		24016		846		546
67.5		24092		906		541
68.5		24275		881		571
69.5		24270		977		537
70.5		24497		949		573
71.5		24552		923		547
72.5		24533		1021		588
73.5		24714		1075		566
74.5		24824		1036		583
75.5		24740		1089		617
76.5		24971		1105		623
77.5		25012		1079		629
78.5		25066		1077		621
79.5		25148		1117		631
80.5		25058		1128		628
81.5		25129		1135		633
82.5		25144		1128		670
83.5		25187		1091		684
84.5		25112		1070		707
85.5		25099		1130		754
86.5		25126		1143		716
87.5		24616		1102		716
88.5		24216		1095		782
89.5		23046		1045		681
