Abs(theta)	Type0		Type1		Type23
0.5		179		1		3
1.5		539		8		6
2.5		894		15		2
3.5		1265		15		8
4.5		1641		16		8
5.5		1961		19		23
6.5		2295		26		19
7.5		2677		32		17
8.5		2988		24		30
9.5		3292		37		31
10.5		3739		43		28
11.5		3954		41		30
12.5		4515		48		38
13.5		4599		54		31
14.5		5122		51		40
15.5		5435		61		43
16.5		5740		60		42
17.5		5976		64		44
18.5		6457		92		54
19.5		6816		85		55
20.5		7030		76		55
21.5		7458		98		65
22.5		7639		120		77
23.5		7974		126		69
24.5		8290		134		79
25.5		8509		125		75
26.5		8972		136		78
27.5		9394		124		95
28.5		9567		144		87
29.5		9804		133		95
30.5		10027		183		96
31.5		10455		164		105
32.5		10665		199		105
33.5		11022		180		107
34.5		11391		206		120
35.5		11456		202		133
36.5		11869		208		128
37.5		12056		230		152
38.5		12409		258		146
39.5		12626		246		141
40.5		13086		271		158
41.5		13125		271		165
42.5		13269		299		160
43.5		13407		305		190
44.5		13685		341		207
45.5		14155		327		191
46.5		14215		342		180
47.5		14324		371		192
48.5		14626		381		205
49.5		14996		413		222
50.5		14879		371		243
51.5		15051		418		226
52.5		15520		435		287
53.5		15573		459		230
54.5		15645		443		275
55.5		15701		482		251
56.5		15980		502		270
57.5		16203		566		306
58.5		16324		583		293
59.5		16419		586		321
60.5		16435		557		330
61.5		16629		627		342
62.5		16998		616		308
63.5		16745		573		340
64.5		16847		605		365
65.5		17047		641		374
66.5		17325		685		370
67.5		17719		670		345
68.5		17507		709		378
69.5		17426		669		383
70.5		17693		713		374
71.5		17571		706		399
72.5		17901		718		406
73.5		17901		792		407
74.5		17973		769		427
75.5		17986		769		435
76.5		17840		814		427
77.5		18084		804		416
78.5		18054		788		423
79.5		18129		814		433
80.5		18186		791		431
81.5		18096		868		500
82.5		17908		848		483
83.5		17970		910		470
84.5		18344		870		483
85.5		18191		895		528
86.5		18220		879		484
87.5		18216		912		465
88.5		18093		868		553
89.5		17273		816		494
