Abs(theta)	Type0		Type1		Type23
0.5		172		1		2
1.5		517		7		2
2.5		880		10		8
3.5		1233		8		13
4.5		1562		22		11
5.5		1945		16		14
6.5		2263		14		7
7.5		2587		29		21
8.5		3018		33		22
9.5		3259		36		24
10.5		3765		42		39
11.5		4027		28		34
12.5		4312		53		27
13.5		4828		56		24
14.5		5058		65		50
15.5		5487		69		55
16.5		5685		66		42
17.5		6147		69		44
18.5		6275		86		48
19.5		6637		82		63
20.5		7015		97		63
21.5		7380		84		74
22.5		7657		97		68
23.5		7991		116		79
24.5		8402		114		63
25.5		8683		147		70
26.5		8976		127		94
27.5		9308		120		97
28.5		9657		158		91
29.5		9868		169		107
30.5		10129		183		91
31.5		10380		149		114
32.5		10519		162		95
33.5		11076		195		128
34.5		11209		183		122
35.5		11678		235		134
36.5		11784		215		117
37.5		12153		236		140
38.5		12436		271		157
39.5		12530		251		158
40.5		12953		254		171
41.5		13158		267		142
42.5		13449		284		184
43.5		13448		297		177
44.5		13877		311		193
45.5		14144		342		219
46.5		14218		348		207
47.5		14451		362		200
48.5		14573		367		198
49.5		14787		424		237
50.5		15072		359		220
51.5		15186		435		226
52.5		15351		448		233
53.5		15489		444		248
54.5		15570		479		240
55.5		15867		477		265
56.5		16277		499		254
57.5		16100		514		291
58.5		16283		565		309
59.5		16496		544		297
60.5		16426		562		312
61.5		16636		577		329
62.5		17015		618		344
63.5		17122		616		330
64.5		16889		657		354
65.5		17177		695		372
66.5		17375		697		337
67.5		17380		714		362
68.5		17450		723		364
69.5		17571		709		370
70.5		17623		787		390
71.5		17489		740		371
72.5		17704		763		440
73.5		17757		809		419
74.5		17912		754		431
75.5		17909		797		420
76.5		17994		825		411
77.5		18056		785		463
78.5		18194		825		430
79.5		18096		803		455
80.5		18225		829		443
81.5		18115		878		441
82.5		18119		867		432
83.5		18118		873		471
84.5		18239		810		492
85.5		18135		827		525
86.5		18239		840		482
87.5		18271		863		533
88.5		18314		866		500
89.5		17446		806		519
