Abs(theta)	Type0		Type1		Type23
0.5		507		5		2
1.5		1501		22		9
2.5		2547		15		10
3.5		3509		35		32
4.5		4510		49		38
5.5		5538		45		34
6.5		6548		67		62
7.5		7518		79		57
8.5		8533		94		53
9.5		9497		107		63
10.5		10515		117		79
11.5		11476		125		63
12.5		12464		132		89
13.5		13413		169		106
14.5		14414		153		110
15.5		15336		162		111
16.5		16265		184		148
17.5		17246		193		139
18.5		18189		215		139
19.5		19155		219		148
20.5		20050		282		185
21.5		20952		291		177
22.5		21869		313		195
23.5		22803		301		225
24.5		23759		320		201
25.5		24565		363		235
26.5		25370		376		246
27.5		26334		382		226
28.5		27092		445		285
29.5		27894		477		274
30.5		28839		458		293
31.5		29688		464		307
32.5		30463		524		321
33.5		31284		543		365
34.5		32089		543		328
35.5		32775		600		331
36.5		33506		634		373
37.5		34303		645		381
38.5		34953		707		435
39.5		35707		681		417
40.5		36439		790		435
41.5		37095		787		450
42.5		37838		866		489
43.5		38482		860		503
44.5		39093		892		555
45.5		39656		956		562
46.5		40190		1036		527
47.5		40851		1006		601
48.5		41516		1067		578
49.5		41945		1109		613
50.5		42571		1153		617
51.5		43177		1152		634
52.5		43520		1270		706
53.5		44059		1285		662
54.5		44504		1373		750
55.5		45162		1361		725
56.5		45391		1427		823
57.5		45786		1529		748
58.5		46298		1510		786
59.5		46718		1553		809
60.5		47328		1567		887
61.5		47488		1636		873
62.5		47713		1764		891
63.5		48189		1726		932
64.5		48322		1863		979
65.5		48793		1849		963
66.5		49093		1965		1020
67.5		49386		1942		998
68.5		49635		1960		1106
69.5		49840		2076		1002
70.5		50042		2047		1063
71.5		50180		2132		1125
72.5		50492		2119		1203
73.5		50538		2250		1208
74.5		50837		2160		1218
75.5		51028		2221		1176
76.5		51002		2288		1182
77.5		51244		2271		1266
78.5		51500		2226		1283
79.5		51662		2332		1286
80.5		51557		2327		1262
81.5		51923		2300		1369
82.5		51610		2412		1375
83.5		51956		2368		1275
84.5		51956		2470		1396
85.5		51973		2449		1354
86.5		52114		2521		1427
87.5		50753		2480		1446
88.5		50985		2416		1423
89.5		50370		2467		1425
