Abs(theta)	Type0		Type1		Type23
0.5		241		1		4
1.5		741		6		7
2.5		1222		18		9
3.5		1750		12		20
4.5		2242		19		16
5.5		2725		16		20
6.5		3217		24		26
7.5		3721		35		34
8.5		4193		66		43
9.5		4650		49		37
10.5		5195		48		46
11.5		5666		63		44
12.5		6159		61		52
13.5		6618		73		51
14.5		7084		88		53
15.5		7591		86		61
16.5		8101		91		68
17.5		8541		107		66
18.5		8963		106		80
19.5		9454		110		84
20.5		9904		107		93
21.5		10383		128		99
22.5		10828		156		102
23.5		11287		133		89
24.5		11708		141		101
25.5		12114		187		145
26.5		12616		162		108
27.5		12957		200		125
28.5		13435		190		139
29.5		13742		240		176
30.5		14263		220		157
31.5		14605		213		161
32.5		15072		241		161
33.5		15446		245		198
34.5		15873		253		182
35.5		16204		279		189
36.5		16613		286		169
37.5		16913		341		212
38.5		17373		322		208
39.5		17671		322		235
40.5		17929		349		257
41.5		18300		442		252
42.5		18615		412		237
43.5		18997		419		266
44.5		19273		442		256
45.5		19555		461		270
46.5		19877		475		280
47.5		20129		516		328
48.5		20422		516		307
49.5		20769		530		336
50.5		21033		527		335
51.5		21267		579		372
52.5		21522		596		364
53.5		21835		592		382
54.5		21896		674		372
55.5		22282		669		366
56.5		22424		705		399
57.5		22585		701		401
58.5		22883		727		451
59.5		23018		801		469
60.5		23279		791		435
61.5		23429		851		416
62.5		23685		785		449
63.5		23713		875		509
64.5		23863		920		543
65.5		24050		867		481
66.5		24248		865		532
67.5		24355		936		492
68.5		24481		955		535
69.5		24625		937		598
70.5		24706		981		536
71.5		24844		996		556
72.5		24947		958		580
73.5		25016		1020		617
74.5		25007		1079		583
75.5		25159		1113		613
76.5		25279		1081		639
77.5		25284		1058		630
78.5		25472		1093		707
79.5		25393		1134		646
80.5		25477		1147		665
81.5		25608		1097		674
82.5		25453		1170		708
83.5		25598		1179		656
84.5		25652		1155		702
85.5		25554		1171		693
86.5		25338		1165		767
87.5		25324		1187		811
88.5		25622		1179		830
89.5		24567		1177		708
