Abs(theta)	Type0		Type1		Type23
0.5		511		3		3
1.5		1525		8		6
2.5		2529		20		14
3.5		3482		39		29
4.5		4486		41		21
5.5		5498		65		43
6.5		6528		66		55
7.5		7486		76		65
8.5		8477		95		70
9.5		9501		106		79
10.5		10436		116		84
11.5		11429		115		86
12.5		12384		140		113
13.5		13385		163		114
14.5		14422		138		107
15.5		15360		154		110
16.5		16273		189		157
17.5		17150		224		154
18.5		18170		204		138
19.5		19084		231		159
20.5		20031		224		174
21.5		21003		260		201
22.5		21780		296		205
23.5		22714		326		192
24.5		23549		330		235
25.5		24499		353		221
26.5		25386		355		215
27.5		26239		388		253
28.5		27035		413		285
29.5		27914		449		272
30.5		28731		486		275
31.5		29516		479		318
32.5		30218		567		293
33.5		31119		570		338
34.5		31884		543		378
35.5		32665		578		342
36.5		33582		600		345
37.5		34166		654		427
38.5		34788		644		428
39.5		35729		685		368
40.5		36355		727		422
41.5		37011		779		448
42.5		37549		828		480
43.5		38359		859		473
44.5		39032		850		494
45.5		39593		899		537
46.5		40226		964		548
47.5		40832		1023		587
48.5		41365		1056		614
49.5		41944		1113		620
50.5		42400		1189		648
51.5		43020		1174		699
52.5		43559		1298		687
53.5		43884		1248		699
54.5		44605		1328		721
55.5		44898		1406		726
56.5		45360		1458		765
57.5		45749		1520		769
58.5		46116		1528		764
59.5		46525		1592		832
60.5		46990		1599		821
61.5		47377		1640		897
62.5		47561		1714		900
63.5		47941		1780		949
64.5		48428		1749		970
65.5		48601		1844		1009
66.5		48748		1952		1025
67.5		49257		1851		1078
68.5		49481		1895		1065
69.5		49591		2018		1104
70.5		49921		2059		1046
71.5		50097		2111		1110
72.5		50326		2115		1144
73.5		50596		2145		1172
74.5		50675		2223		1147
75.5		50731		2299		1173
76.5		51021		2293		1207
77.5		51070		2313		1212
78.5		51213		2348		1223
79.5		51257		2323		1306
80.5		51287		2331		1275
81.5		51441		2413		1299
82.5		51577		2391		1337
83.5		51508		2382		1273
84.5		51469		2385		1409
85.5		51244		2336		1414
86.5		51292		2361		1451
87.5		50172		2432		1452
88.5		49671		2334		1398
89.5		47200		2226		1449
