Abs(theta)	Type0		Type1		Type23
0.5		192		1		2
1.5		544		5		6
2.5		861		11		5
3.5		1193		19		11
4.5		1614		18		18
5.5		1900		14		20
6.5		2336		20		20
7.5		2640		21		19
8.5		2928		37		27
9.5		3299		29		20
10.5		3614		35		30
11.5		4047		45		31
12.5		4309		52		23
13.5		4591		55		29
14.5		5047		66		50
15.5		5302		61		42
16.5		5674		75		44
17.5		6171		77		43
18.5		6430		65		49
19.5		6763		93		63
20.5		6934		119		66
21.5		7312		81		75
22.5		7534		95		61
23.5		8111		101		80
24.5		8306		111		78
25.5		8731		137		86
26.5		8790		125		99
27.5		9240		131		87
28.5		9524		168		89
29.5		9870		158		72
30.5		10189		152		100
31.5		10472		165		118
32.5		10589		182		91
33.5		10925		188		111
34.5		11212		186		135
35.5		11516		199		125
36.5		11861		200		104
37.5		12005		211		145
38.5		12165		234		147
39.5		12340		240		162
40.5		12680		235		164
41.5		12949		285		153
42.5		13173		292		155
43.5		13411		288		175
44.5		13817		303		150
45.5		13912		305		187
46.5		14230		359		228
47.5		14247		361		198
48.5		14442		365		196
49.5		14710		413		193
50.5		14858		399		232
51.5		15029		420		230
52.5		15412		427		236
53.5		15567		474		236
54.5		15638		455		218
55.5		15860		490		246
56.5		15844		485		297
57.5		16136		501		270
58.5		16440		519		309
59.5		16352		525		305
60.5		16220		570		332
61.5		16685		626		307
62.5		16853		601		331
63.5		17068		604		365
64.5		17093		649		319
65.5		17106		667		351
66.5		17280		680		365
67.5		17404		692		372
68.5		17465		724		378
69.5		17437		702		415
70.5		17476		750		356
71.5		17723		821		394
72.5		17728		703		411
73.5		17656		772		406
74.5		17901		775		410
75.5		17764		810		453
76.5		17688		792		428
77.5		18070		788		421
78.5		18079		794		418
79.5		17988		792		462
80.5		18099		772		415
81.5		18210		827		486
82.5		18366		828		474
83.5		18227		906		478
84.5		18126		814		468
85.5		18392		826		527
86.5		18242		865		485
87.5		17709		804		461
88.5		17896		915		475
89.5		17618		859		496
