Abs(theta)	Type0		Type1		Type23
0.5		241		5		2
1.5		754		3		4
2.5		1215		20		16
3.5		1726		17		10
4.5		2242		13		15
5.5		2732		27		23
6.5		3250		25		24
7.5		3690		35		33
8.5		4217		37		37
9.5		4652		60		33
10.5		5208		53		36
11.5		5639		69		50
12.5		6173		54		40
13.5		6618		77		54
14.5		7120		80		57
15.5		7584		89		77
16.5		8075		88		79
17.5		8537		107		81
18.5		8932		110		90
19.5		9491		102		90
20.5		9912		114		83
21.5		10381		133		86
22.5		10798		122		103
23.5		11289		130		116
24.5		11667		156		101
25.5		12151		181		129
26.5		12567		196		128
27.5		12953		191		113
28.5		13404		212		117
29.5		13876		202		153
30.5		14267		214		152
31.5		14637		230		143
32.5		15023		242		159
33.5		15459		272		175
34.5		15764		281		190
35.5		16248		273		175
36.5		16522		282		206
37.5		16939		316		187
38.5		17235		323		226
39.5		17634		341		207
40.5		17968		377		227
41.5		18306		386		235
42.5		18663		386		230
43.5		18946		413		259
44.5		19241		420		259
45.5		19540		448		281
46.5		19962		442		312
47.5		20133		511		284
48.5		20505		492		319
49.5		20751		536		316
50.5		20986		562		343
51.5		21323		559		338
52.5		21469		575		397
53.5		21794		613		364
54.5		22014		642		373
55.5		22301		632		351
56.5		22506		641		407
57.5		22789		648		393
58.5		22860		758		434
59.5		23074		758		434
60.5		23256		784		447
61.5		23425		770		438
62.5		23658		855		479
63.5		23681		852		472
64.5		24015		852		510
65.5		24040		903		541
66.5		24202		899		522
67.5		24395		880		529
68.5		24504		936		555
69.5		24634		943		538
70.5		24690		951		560
71.5		24770		1066		559
72.5		24842		1046		623
73.5		24982		1056		616
74.5		25137		1038		627
75.5		25147		1099		589
76.5		25152		1105		605
77.5		25334		1120		625
78.5		25298		1105		674
79.5		25443		1088		685
80.5		25503		1177		665
81.5		25523		1140		690
82.5		25442		1162		681
83.5		25411		1157		740
84.5		25478		1138		699
85.5		25522		1121		722
86.5		25620		1198		739
87.5		25384		1127		799
88.5		25548		1187		751
89.5		24514		1164		740
