Abs(theta)	Type0		Type1		Type23
0.5		246		2		4
1.5		747		7		6
2.5		1241		11		10
3.5		1738		16		16
4.5		2234		18		16
5.5		2709		28		19
6.5		3221		30		29
7.5		3702		41		38
8.5		4196		44		29
9.5		4711		37		31
10.5		5211		49		37
11.5		5675		62		39
12.5		6112		79		37
13.5		6598		78		49
14.5		7110		78		57
15.5		7572		83		48
16.5		8034		91		78
17.5		8489		97		75
18.5		8979		102		78
19.5		9427		126		78
20.5		9880		129		76
21.5		10369		143		105
22.5		10798		163		93
23.5		11267		139		96
24.5		11677		139		95
25.5		12135		164		123
26.5		12537		178		121
27.5		12944		182		128
28.5		13352		179		139
29.5		13801		229		147
30.5		14151		222		136
31.5		14622		242		164
32.5		15024		234		180
33.5		15403		254		164
34.5		15854		232		170
35.5		16087		298		192
36.5		16459		351		202
37.5		16913		316		211
38.5		17231		362		226
39.5		17613		349		208
40.5		17967		351		214
41.5		18279		408		234
42.5		18662		414		232
43.5		18955		414		273
44.5		19299		389		280
45.5		19560		428		283
46.5		19846		448		302
47.5		20155		488		308
48.5		20445		518		289
49.5		20776		537		300
50.5		20992		556		327
51.5		21233		608		344
52.5		21695		563		335
53.5		21737		631		324
54.5		21993		681		378
55.5		22226		662		412
56.5		22451		653		444
57.5		22624		665		397
58.5		22856		699		421
59.5		23185		731		409
60.5		23220		748		454
61.5		23330		840		431
62.5		23679		779		452
63.5		23744		807		475
64.5		23929		860		498
65.5		24055		871		524
66.5		24075		927		534
67.5		24258		944		533
68.5		24384		933		560
69.5		24536		1002		544
70.5		24645		1008		552
71.5		24763		960		610
72.5		24920		975		581
73.5		24934		987		609
74.5		25087		1022		653
75.5		25131		1116		593
76.5		25061		1110		700
77.5		25230		1086		634
78.5		25441		1082		644
79.5		25482		1104		655
80.5		25389		1078		714
81.5		25580		1086		674
82.5		25432		1120		692
83.5		25499		1152		722
84.5		25472		1172		675
85.5		25483		1178		752
86.5		25336		1172		773
87.5		25131		1114		732
88.5		24834		1137		757
89.5		24922		1142		747
