Abs(theta)	Type0		Type1		Type23
0.5		512		6		5
1.5		1494		19		11
2.5		2528		25		19
3.5		3502		28		32
4.5		4510		56		33
5.5		5523		47		34
6.5		6522		60		43
7.5		7483		86		40
8.5		8505		100		66
9.5		9499		103		67
10.5		10505		103		97
11.5		11443		131		100
12.5		12438		145		93
13.5		13396		147		88
14.5		14301		165		130
15.5		15351		198		137
16.5		16267		169		125
17.5		17193		207		141
18.5		18116		209		184
19.5		19095		230		147
20.5		20042		226		141
21.5		20928		256		174
22.5		21820		269		194
23.5		22763		334		229
24.5		23537		337		210
25.5		24478		358		233
26.5		25343		354		242
27.5		26187		385		237
28.5		27094		403		281
29.5		27992		416		284
30.5		28840		411		297
31.5		29550		500		287
32.5		30312		511		298
33.5		31097		535		333
34.5		32009		565		353
35.5		32749		624		363
36.5		33436		624		389
37.5		34171		642		403
38.5		34965		719		393
39.5		35707		715		444
40.5		36282		773		477
41.5		37111		736		453
42.5		37834		780		443
43.5		38236		888		483
44.5		38955		924		497
45.5		39597		908		537
46.5		40128		1028		576
47.5		40873		1031		597
48.5		41426		1086		619
49.5		41948		1167		609
50.5		42405		1136		594
51.5		43093		1186		652
52.5		43482		1238		712
53.5		43904		1295		715
54.5		44445		1404		714
55.5		44938		1417		732
56.5		45472		1387		794
57.5		45825		1471		789
58.5		46278		1577		812
59.5		46780		1505		846
60.5		47099		1611		891
61.5		47392		1577		853
62.5		47747		1720		942
63.5		48013		1772		880
64.5		48195		1909		938
65.5		48760		1848		949
66.5		48942		1905		1011
67.5		49216		1928		1083
68.5		49486		1991		1038
69.5		49667		2077		1122
70.5		50014		2074		1094
71.5		50126		2129		1092
72.5		50280		2124		1164
73.5		50557		2141		1092
74.5		50781		2239		1266
75.5		50906		2180		1206
76.5		50936		2292		1237
77.5		51280		2195		1232
78.5		51314		2382		1224
79.5		51391		2325		1328
80.5		51485		2314		1297
81.5		51428		2422		1285
82.5		51499		2403		1358
83.5		51658		2491		1372
84.5		51546		2517		1376
85.5		51598		2481		1392
86.5		51451		2514		1429
87.5		51832		2434		1446
88.5		51629		2515		1497
89.5		49857		2302		1459
