Abs(theta)	Type0		Type1		Type23
0.5		246		3		2
1.5		744		6		6
2.5		1250		8		9
3.5		1736		18		16
4.5		2195		27		18
5.5		2729		31		26
6.5		3212		35		24
7.5		3694		35		35
8.5		4189		39		27
9.5		4689		55		45
10.5		5162		64		47
11.5		5647		63		47
12.5		6193		63		49
13.5		6609		63		61
14.5		7092		73		73
15.5		7580		77		76
16.5		8050		108		68
17.5		8477		103		82
18.5		8988		105		74
19.5		9423		113		84
20.5		9872		109		99
21.5		10353		110		93
22.5		10768		153		110
23.5		11255		138		94
24.5		11657		174		127
25.5		12127		162		105
26.5		12561		164		136
27.5		12964		194		141
28.5		13399		177		138
29.5		13841		202		142
30.5		14248		221		163
31.5		14610		212		169
32.5		14976		236		173
33.5		15406		274		166
34.5		15846		221		163
35.5		16138		265		179
36.5		16500		305		205
37.5		16930		293		181
38.5		17251		336		238
39.5		17652		347		187
40.5		17953		350		220
41.5		18289		393		253
42.5		18681		391		256
43.5		18921		462		259
44.5		19397		408		265
45.5		19579		440		296
46.5		19915		459		270
47.5		20165		499		296
48.5		20449		511		293
49.5		20726		515		321
50.5		21049		541		314
51.5		21227		570		358
52.5		21497		603		350
53.5		21753		612		362
54.5		21968		615		390
55.5		22254		647		392
56.5		22490		669		435
57.5		22645		672		387
58.5		22897		703		449
59.5		23084		705		416
60.5		23234		796		435
61.5		23424		775		447
62.5		23540		803		457
63.5		23662		851		483
64.5		23904		834		503
65.5		24138		869		467
66.5		24121		890		548
67.5		24322		900		559
68.5		24349		973		573
69.5		24457		960		556
70.5		24626		1009		569
71.5		24681		1021		585
72.5		24909		976		561
73.5		25081		998		588
74.5		25110		1060		611
75.5		25070		1070		638
76.5		25136		1106		632
77.5		25249		1107		611
78.5		25379		1087		601
79.5		25376		1114		644
80.5		25431		1123		620
81.5		25378		1178		716
82.5		25426		1162		703
83.5		25607		1090		706
84.5		25514		1210		688
85.5		25626		1149		774
86.5		25524		1157		738
87.5		24978		1100		746
88.5		25002		1172		730
89.5		24925		1158		767
