Abs(theta)	Type0		Type1		Type23
0.5		254		0		0
1.5		752		8		1
2.5		1248		16		10
3.5		1729		19		18
4.5		2217		30		21
5.5		2718		28		18
6.5		3194		32		31
7.5		3717		37		30
8.5		4189		39		34
9.5		4678		44		35
10.5		5179		35		45
11.5		5639		59		36
12.5		6138		64		38
13.5		6622		71		57
14.5		7098		66		59
15.5		7576		93		55
16.5		8022		106		67
17.5		8547		89		71
18.5		8973		105		79
19.5		9464		120		84
20.5		9921		110		77
21.5		10434		128		86
22.5		10748		155		114
23.5		11245		134		119
24.5		11708		136		110
25.5		12135		163		121
26.5		12504		180		139
27.5		12945		217		130
28.5		13387		212		121
29.5		13821		214		136
30.5		14179		210		141
31.5		14643		228		127
32.5		15063		255		157
33.5		15356		276		156
34.5		15777		257		183
35.5		16182		284		176
36.5		16569		276		199
37.5		16855		323		205
38.5		17349		305		221
39.5		17593		345		250
40.5		17897		389		256
41.5		18351		357		263
42.5		18679		386		234
43.5		18911		442		253
44.5		19270		419		275
45.5		19561		485		278
46.5		19828		468		336
47.5		20152		500		269
48.5		20396		510		319
49.5		20745		546		296
50.5		21033		557		342
51.5		21263		578		335
52.5		21446		582		341
53.5		21793		659		373
54.5		21968		611		398
55.5		22186		688		390
56.5		22436		662		402
57.5		22723		675		384
58.5		22879		679		436
59.5		23097		714		418
60.5		23180		792		453
61.5		23444		784		437
62.5		23564		816		447
63.5		23706		838		468
64.5		23955		851		476
65.5		24005		884		532
66.5		24113		916		521
67.5		24344		894		543
68.5		24490		949		496
69.5		24446		979		560
70.5		24753		969		575
71.5		24757		1030		574
72.5		24887		1051		569
73.5		25004		994		575
74.5		25044		1028		580
75.5		25128		1039		647
76.5		25096		1061		661
77.5		25326		1110		599
78.5		25386		1045		655
79.5		25360		1071		625
80.5		25435		1112		690
81.5		25346		1133		718
82.5		25527		1114		672
83.5		25544		1106		724
84.5		25547		1126		698
85.5		25667		1217		734
86.5		25557		1147		724
87.5		25153		1187		712
88.5		24769		1149		716
89.5		24776		1153		726
