Abs(theta)	Type0		Type1		Type23
0.5		251		3		2
1.5		735		10		7
2.5		1255		8		12
3.5		1723		13		11
4.5		2236		25		18
5.5		2738		25		18
6.5		3221		27		23
7.5		3687		43		22
8.5		4233		45		35
9.5		4717		45		28
10.5		5189		56		53
11.5		5673		67		53
12.5		6138		77		54
13.5		6670		56		49
14.5		7086		89		60
15.5		7601		102		61
16.5		8078		71		66
17.5		8510		104		66
18.5		8942		107		99
19.5		9432		116		76
20.5		9964		99		77
21.5		10341		134		92
22.5		10797		118		105
23.5		11316		173		104
24.5		11684		150		109
25.5		12158		180		111
26.5		12548		160		129
27.5		12955		186		129
28.5		13416		186		136
29.5		13875		196		150
30.5		14289		201		149
31.5		14558		239		140
32.5		15032		248		170
33.5		15365		261		163
34.5		15842		269		187
35.5		16193		305		191
36.5		16571		279		199
37.5		16949		288		175
38.5		17255		343		197
39.5		17661		329		231
40.5		17956		382		246
41.5		18416		344		224
42.5		18745		368		239
43.5		18934		419		248
44.5		19345		448		254
45.5		19603		434		268
46.5		19843		501		275
47.5		20220		467		328
48.5		20468		529		328
49.5		20721		573		320
50.5		20987		524		306
51.5		21322		584		324
52.5		21502		607		367
53.5		21687		622		393
54.5		22062		649		375
55.5		22250		658		379
56.5		22478		642		428
57.5		22697		686		379
58.5		22844		764		431
59.5		23145		721		441
60.5		23331		751		459
61.5		23442		734		456
62.5		23597		820		460
63.5		23740		842		468
64.5		23927		897		498
65.5		24123		907		465
66.5		24210		902		543
67.5		24351		910		586
68.5		24450		949		555
69.5		24509		1013		573
70.5		24709		1000		569
71.5		24823		1013		557
72.5		24814		1006		608
73.5		24969		1037		550
74.5		25096		1078		629
75.5		25185		1022		637
76.5		25191		1098		680
77.5		25348		1056		639
78.5		25269		1166		644
79.5		25306		1138		703
80.5		25388		1139		668
81.5		25394		1162		669
82.5		25383		1171		718
83.5		25487		1220		719
84.5		25520		1233		723
85.5		25529		1179		728
86.5		25449		1236		736
87.5		25491		1178		784
88.5		25511		1184		746
89.5		24601		1139		763
