Abs(theta)	Type0		Type1		Type23
0.5		504		4		2
1.5		1519		12		8
2.5		2490		24		18
3.5		3493		44		26
4.5		4511		46		30
5.5		5535		61		34
6.5		6488		65		42
7.5		7501		84		48
8.5		8510		101		77
9.5		9500		83		71
10.5		10453		112		83
11.5		11429		124		103
12.5		12468		119		97
13.5		13385		150		128
14.5		14338		173		116
15.5		15320		183		113
16.5		16288		190		130
17.5		17225		217		139
18.5		18149		218		149
19.5		19091		210		156
20.5		19976		270		164
21.5		20917		252		179
22.5		21814		276		207
23.5		22674		293		219
24.5		23579		334		204
25.5		24512		368		226
26.5		25466		363		211
27.5		26248		409		244
28.5		27107		409		273
29.5		27928		442		273
30.5		28763		445		287
31.5		29553		441		298
32.5		30327		519		300
33.5		31163		547		331
34.5		31944		568		332
35.5		32775		608		326
36.5		33449		635		383
37.5		34338		654		375
38.5		34982		717		408
39.5		35593		732		432
40.5		36355		757		433
41.5		36957		802		470
42.5		37740		827		459
43.5		38391		876		515
44.5		38927		916		566
45.5		39655		956		545
46.5		40288		981		566
47.5		40667		1060		623
48.5		41391		1068		583
49.5		41956		1092		637
50.5		42536		1151		666
51.5		42972		1245		674
52.5		43507		1274		683
53.5		43947		1306		719
54.5		44561		1334		672
55.5		44967		1392		780
56.5		45353		1448		793
57.5		45870		1435		805
58.5		46254		1594		839
59.5		46628		1533		874
60.5		47136		1528		854
61.5		47321		1743		916
62.5		47660		1683		944
63.5		48173		1735		909
64.5		48345		1743		983
65.5		48647		1847		989
66.5		48994		1831		1037
67.5		49149		1944		1038
68.5		49641		1918		1094
69.5		49716		1971		1145
70.5		50007		2123		1099
71.5		50208		2113		1110
72.5		50448		2070		1116
73.5		50417		2215		1159
74.5		50750		2190		1195
75.5		50938		2221		1224
76.5		51097		2236		1222
77.5		51283		2251		1269
78.5		51243		2336		1209
79.5		51541		2307		1268
80.5		51320		2466		1302
81.5		51654		2383		1252
82.5		51511		2360		1369
83.5		51592		2335		1391
84.5		51734		2457		1422
85.5		51884		2377		1380
86.5		51891		2453		1424
87.5		51598		2425		1491
88.5		51792		2534		1547
89.5		49812		2352		1514
