Abs(theta)	Type0		Type1		Type23
0.5		511		3		2
1.5		1495		15		9
2.5		2506		25		22
3.5		3515		36		25
4.5		4482		45		25
5.5		5475		59		41
6.5		6529		69		34
7.5		7440		80		56
8.5		8487		95		78
9.5		9443		125		60
10.5		10475		98		84
11.5		11449		131		87
12.5		12441		136		87
13.5		13381		155		118
14.5		14355		154		101
15.5		15288		180		147
16.5		16234		162		134
17.5		17194		216		159
18.5		18166		213		163
19.5		19109		229		161
20.5		19975		228		171
21.5		20917		271		183
22.5		21860		301		160
23.5		22707		328		200
24.5		23587		326		230
25.5		24542		352		250
26.5		25344		360		235
27.5		26256		368		248
28.5		27040		436		283
29.5		27865		468		250
30.5		28714		457		294
31.5		29586		498		300
32.5		30365		553		319
33.5		31103		503		331
34.5		32027		567		338
35.5		32713		624		359
36.5		33539		596		367
37.5		34193		636		360
38.5		34930		725		397
39.5		35581		696		454
40.5		36318		806		416
41.5		36929		769		460
42.5		37730		803		475
43.5		38341		863		488
44.5		38972		852		570
45.5		39585		957		507
46.5		40212		984		510
47.5		40890		1010		549
48.5		41399		1047		591
49.5		41861		1129		656
50.5		42348		1105		645
51.5		42964		1133		659
52.5		43436		1301		686
53.5		44018		1293		692
54.5		44442		1317		712
55.5		44895		1418		774
56.5		45205		1480		760
57.5		45839		1383		796
58.5		46122		1490		855
59.5		46522		1552		830
60.5		46978		1594		857
61.5		47316		1683		921
62.5		47680		1662		928
63.5		48003		1742		921
64.5		48490		1839		917
65.5		48592		1838		919
66.5		48875		1926		1000
67.5		49264		1891		979
68.5		49419		1925		1065
69.5		49410		2081		1040
70.5		49896		2051		1110
71.5		50247		2051		1122
72.5		50361		2182		1080
73.5		50496		2205		1217
74.5		50721		2208		1153
75.5		50895		2151		1233
76.5		50795		2318		1237
77.5		51249		2233		1239
78.5		51262		2325		1234
79.5		51363		2341		1272
80.5		51516		2331		1275
81.5		51644		2296		1325
82.5		51527		2429		1367
83.5		51642		2441		1384
84.5		51825		2356		1359
85.5		51764		2445		1341
86.5		51895		2480		1428
87.5		50362		2396		1493
88.5		50661		2362		1432
89.5		50411		2441		1423
