Abs(theta)	Type0		Type1		Type23
0.5		239		1		4
1.5		739		4		5
2.5		1211		25		11
3.5		1687		13		8
4.5		2181		23		20
5.5		2663		30		10
6.5		3154		39		26
7.5		3631		44		24
8.5		4123		47		29
9.5		4608		50		32
10.5		5040		60		44
11.5		5571		45		33
12.5		6018		75		43
13.5		6474		76		70
14.5		6953		77		70
15.5		7442		92		62
16.5		7914		104		69
17.5		8323		103		65
18.5		8789		104		86
19.5		9315		128		85
20.5		9759		109		83
21.5		10183		119		103
22.5		10573		138		93
23.5		11097		153		85
24.5		11496		153		104
25.5		11937		175		102
26.5		12314		193		120
27.5		12759		182		126
28.5		13150		190		138
29.5		13553		219		123
30.5		13986		213		144
31.5		14396		202		135
32.5		14739		225		164
33.5		15096		246		159
34.5		15580		244		185
35.5		15886		295		148
36.5		16198		303		189
37.5		16557		319		196
38.5		16966		334		165
39.5		17299		396		176
40.5		17629		330		211
41.5		18023		361		223
42.5		18289		391		246
43.5		18627		443		283
44.5		18940		421		295
45.5		19209		405		301
46.5		19480		480		271
47.5		19848		469		284
48.5		20108		501		290
49.5		20257		508		318
50.5		20601		545		320
51.5		20838		557		340
52.5		21053		576		356
53.5		21240		616		414
54.5		21600		629		350
55.5		21780		655		366
56.5		22066		673		380
57.5		22217		666		406
58.5		22448		716		410
59.5		22657		685		443
60.5		22801		775		455
61.5		22908		788		505
62.5		23194		719		511
63.5		23298		825		489
64.5		23401		822		500
65.5		23603		889		501
66.5		23657		869		533
67.5		23929		882		495
68.5		23848		948		576
69.5		24136		930		534
70.5		24227		962		550
71.5		24387		963		579
72.5		24401		968		560
73.5		24455		1025		631
74.5		24556		1034		589
75.5		24775		1061		593
76.5		24829		1081		598
77.5		24746		1081		623
78.5		24650		1140		651
79.5		24952		1064		638
80.5		25139		1076		642
81.5		24936		1130		649
82.5		25040		1113		685
83.5		24928		1226		662
84.5		25249		1100		674
85.5		25122		1155		752
86.5		24984		1170		703
87.5		24639		1128		755
88.5		24480		1123		737
89.5		24331		1163		718
