Abs(theta)	Type0		Type1		Type23
0.5		497		8		0
1.5		1502		14		15
2.5		2513		21		19
3.5		3508		32		26
4.5		4504		48		32
5.5		5504		55		44
6.5		6469		63		49
7.5		7489		68		67
8.5		8463		109		69
9.5		9499		97		77
10.5		10433		122		81
11.5		11454		124		92
12.5		12397		146		83
13.5		13416		135		121
14.5		14405		146		99
15.5		15311		177		124
16.5		16270		185		141
17.5		17200		222		152
18.5		18212		204		150
19.5		19069		225		157
20.5		20026		256		181
21.5		20922		279		157
22.5		21825		298		209
23.5		22744		300		199
24.5		23549		315		234
25.5		24439		348		256
26.5		25375		385		210
27.5		26266		395		240
28.5		27053		438		289
29.5		27925		419		283
30.5		28591		484		282
31.5		29616		462		283
32.5		30298		538		330
33.5		31215		501		323
34.5		31830		590		358
35.5		32763		596		364
36.5		33358		615		379
37.5		34150		677		405
38.5		34845		697		422
39.5		35697		703		428
40.5		36338		763		481
41.5		37001		782		462
42.5		37690		859		500
43.5		38267		888		513
44.5		39055		861		526
45.5		39562		947		525
46.5		40189		968		581
47.5		40783		999		591
48.5		41363		1088		628
49.5		41978		1102		616
50.5		42530		1159		671
51.5		42843		1224		720
52.5		43677		1230		652
53.5		43980		1227		736
54.5		44587		1355		716
55.5		44833		1455		775
56.5		45291		1459		800
57.5		45925		1392		753
58.5		46271		1531		814
59.5		46624		1542		869
60.5		47085		1565		865
61.5		47307		1723		881
62.5		47858		1691		883
63.5		47988		1840		998
64.5		48249		1826		998
65.5		48753		1795		997
66.5		48939		1939		1020
67.5		49232		1924		1013
68.5		49623		1900		1030
69.5		49702		1987		1059
70.5		49946		2047		1120
71.5		50295		2081		1115
72.5		50451		2075		1207
73.5		50577		2203		1180
74.5		50653		2225		1186
75.5		50935		2249		1155
76.5		50966		2290		1238
77.5		51109		2295		1220
78.5		51230		2400		1234
79.5		51274		2366		1317
80.5		51370		2331		1327
81.5		51472		2442		1349
82.5		51648		2379		1374
83.5		51374		2372		1367
84.5		51599		2446		1401
85.5		51583		2460		1419
86.5		51363		2486		1404
87.5		51479		2537		1539
88.5		51539		2436		1504
89.5		49488		2411		1418
