Abs(theta)	Type0		Type1		Type23
0.5		242		3		2
1.5		750		7		8
2.5		1222		10		10
3.5		1719		17		21
4.5		2215		16		13
5.5		2700		29		18
6.5		3171		33		22
7.5		3683		32		29
8.5		4145		37		37
9.5		4645		54		35
10.5		5115		52		40
11.5		5606		60		46
12.5		6043		75		54
13.5		6596		81		61
14.5		7048		60		52
15.5		7488		80		77
16.5		7948		89		72
17.5		8430		77		69
18.5		8839		107		80
19.5		9315		120		97
20.5		9798		116		84
21.5		10229		122		66
22.5		10622		145		101
23.5		11117		166		106
24.5		11523		155		133
25.5		11969		169		97
26.5		12415		175		129
27.5		12843		194		152
28.5		13271		190		126
29.5		13672		203		134
30.5		14064		210		169
31.5		14467		226		153
32.5		14814		247		157
33.5		15236		261		173
34.5		15680		242		169
35.5		15976		277		174
36.5		16403		270		183
37.5		16686		303		225
38.5		17064		330		229
39.5		17463		346		203
40.5		17749		367		224
41.5		18033		379		231
42.5		18442		372		248
43.5		18760		375		285
44.5		19003		450		278
45.5		19289		511		264
46.5		19621		472		275
47.5		19938		472		291
48.5		20152		505		294
49.5		20545		506		309
50.5		20802		542		288
51.5		20904		570		364
52.5		21256		618		327
53.5		21526		593		365
54.5		21719		642		419
55.5		21914		628		393
56.5		22165		668		393
57.5		22389		725		372
58.5		22599		703		406
59.5		22844		696		437
60.5		22962		764		459
61.5		23109		831		453
62.5		23344		823		457
63.5		23469		855		451
64.5		23617		884		518
65.5		23769		888		512
66.5		23898		871		505
67.5		24056		862		546
68.5		24183		937		559
69.5		24352		940		513
70.5		24399		970		561
71.5		24543		1005		533
72.5		24662		1002		577
73.5		24478		1089		573
74.5		24758		1036		593
75.5		24784		1090		581
76.5		24929		1095		603
77.5		24956		1031		668
78.5		25124		1049		637
79.5		25054		1050		665
80.5		25099		1081		687
81.5		25170		1112		592
82.5		25118		1158		649
83.5		25155		1125		709
84.5		25279		1159		683
85.5		25081		1164		766
86.5		25040		1188		772
87.5		25351		1191		805
88.5		25059		1190		734
89.5		24076		1135		720
