Abs(theta)	Type0		Type1		Type23
0.5		237		1		4
1.5		734		3		5
2.5		1219		8		9
3.5		1729		11		14
4.5		2183		21		18
5.5		2684		16		27
6.5		3140		34		33
7.5		3678		23		23
8.5		4138		37		35
9.5		4613		45		47
10.5		5083		71		44
11.5		5561		49		43
12.5		6041		62		62
13.5		6527		58		65
14.5		6961		86		60
15.5		7413		91		68
16.5		7908		95		69
17.5		8360		109		61
18.5		8803		95		78
19.5		9280		106		69
20.5		9722		102		73
21.5		10192		132		91
22.5		10592		153		92
23.5		11073		131		102
24.5		11447		148		116
25.5		11913		173		103
26.5		12309		186		119
27.5		12766		197		114
28.5		13172		212		143
29.5		13531		217		141
30.5		13947		234		153
31.5		14372		235		158
32.5		14744		254		156
33.5		15133		226		157
34.5		15479		306		167
35.5		15994		255		168
36.5		16335		273		183
37.5		16639		288		223
38.5		16968		320		222
39.5		17403		342		198
40.5		17677		319		214
41.5		18040		350		219
42.5		18267		399		254
43.5		18621		399		220
44.5		18903		409		243
45.5		19254		431		275
46.5		19595		443		298
47.5		19901		456		273
48.5		20126		485		286
49.5		20339		550		303
50.5		20625		529		327
51.5		20844		567		337
52.5		21087		591		373
53.5		21336		576		366
54.5		21616		662		330
55.5		21826		694		354
56.5		22098		672		382
57.5		22230		672		382
58.5		22420		711		395
59.5		22638		703		423
60.5		22776		728		461
61.5		23061		761		460
62.5		23183		764		471
63.5		23341		801		458
64.5		23468		859		466
65.5		23541		893		534
66.5		23842		890		525
67.5		23908		849		498
68.5		24015		944		566
69.5		24054		985		543
70.5		24263		970		550
71.5		24373		973		514
72.5		24469		963		578
73.5		24442		1051		608
74.5		24726		1002		614
75.5		24714		1051		573
76.5		24727		1000		646
77.5		24858		1076		635
78.5		24897		1083		638
79.5		24965		1066		627
80.5		24850		1075		595
81.5		24877		1129		738
82.5		25082		1108		662
83.5		25120		1052		677
84.5		24951		1132		697
85.5		24762		1198		741
86.5		25005		1118		698
87.5		24219		1164		695
88.5		24060		1070		737
89.5		22827		1046		690
