Abs(theta)	Type0		Type1		Type23
0.5		169		1		1
1.5		525		3		3
2.5		910		9		6
3.5		1205		9		10
4.5		1584		16		14
5.5		1904		22		15
6.5		2306		27		21
7.5		2700		31		24
8.5		3065		33		28
9.5		3266		36		37
10.5		3631		45		24
11.5		3923		45		24
12.5		4242		51		31
13.5		4609		60		29
14.5		5021		51		37
15.5		5335		69		56
16.5		5835		88		49
17.5		6056		71		59
18.5		6442		82		59
19.5		6790		80		62
20.5		7081		105		48
21.5		7542		97		60
22.5		7687		104		78
23.5		7951		99		72
24.5		8301		118		72
25.5		8721		128		76
26.5		8807		98		79
27.5		9308		150		88
28.5		9703		170		80
29.5		9739		137		100
30.5		10117		167		90
31.5		10511		155		96
32.5		10648		160		103
33.5		11032		169		95
34.5		11290		195		108
35.5		11557		226		123
36.5		12033		224		128
37.5		12150		255		136
38.5		12385		234		139
39.5		12692		236		152
40.5		12985		257		157
41.5		13109		301		181
42.5		12965		299		184
43.5		13641		281		155
44.5		13538		300		194
45.5		13860		342		179
46.5		14069		343		176
47.5		14481		341		223
48.5		14662		360		204
49.5		14861		411		215
50.5		14852		385		236
51.5		15360		467		239
52.5		15383		448		236
53.5		15402		430		243
54.5		15753		481		252
55.5		15683		488		253
56.5		15967		482		298
57.5		15941		551		277
58.5		16293		555		298
59.5		16587		550		314
60.5		16603		538		299
61.5		16733		596		296
62.5		16879		603		294
63.5		16838		614		331
64.5		17059		616		344
65.5		17160		680		342
66.5		17218		654		363
67.5		17103		732		353
68.5		17662		706		383
69.5		17401		716		388
70.5		17710		754		421
71.5		17914		693		425
72.5		17899		774		416
73.5		17538		749		418
74.5		17752		728		374
75.5		17986		795		412
76.5		18154		763		410
77.5		17933		838		440
78.5		18373		786		476
79.5		17989		818		404
80.5		18107		889		451
81.5		18418		857		500
82.5		18046		870		463
83.5		18146		846		448
84.5		18141		883		474
85.5		18101		870		527
86.5		18085		891		518
87.5		18345		870		523
88.5		18211		845		531
89.5		17763		856		589
