Abs(theta)	Type0		Type1		Type23
0.5		182		2		0
1.5		570		7		5
2.5		926		9		5
3.5		1237		14		5
4.5		1622		16		10
5.5		1892		24		20
6.5		2277		19		19
7.5		2603		20		20
8.5		2999		33		21
9.5		3394		27		23
10.5		3731		49		20
11.5		3973		54		31
12.5		4441		47		28
13.5		4661		60		40
14.5		5098		59		48
15.5		5250		65		41
16.5		5836		84		52
17.5		6068		71		47
18.5		6405		81		54
19.5		6650		95		69
20.5		7100		85		59
21.5		7367		80		42
22.5		7589		97		63
23.5		8000		102		64
24.5		8346		111		78
25.5		8624		103		85
26.5		9004		113		75
27.5		9202		127		80
28.5		9555		147		82
29.5		9935		165		90
30.5		10018		175		126
31.5		10423		179		98
32.5		10713		190		108
33.5		10886		196		107
34.5		11144		230		116
35.5		11564		209		144
36.5		11736		221		131
37.5		11976		228		129
38.5		12373		212		133
39.5		12478		227		174
40.5		12805		273		152
41.5		13200		279		166
42.5		13327		295		177
43.5		13536		301		188
44.5		13567		305		173
45.5		14044		324		177
46.5		14055		347		194
47.5		14388		354		197
48.5		14538		363		180
49.5		14504		365		217
50.5		14926		403		202
51.5		15225		418		246
52.5		15425		488		249
53.5		15568		479		236
54.5		15775		460		265
55.5		16004		448		238
56.5		16008		500		272
57.5		16201		539		282
58.5		16151		558		279
59.5		16377		524		301
60.5		16552		563		289
61.5		16644		567		311
62.5		16830		594		308
63.5		16637		630		334
64.5		16752		632		372
65.5		17141		651		331
66.5		17313		667		397
67.5		17475		638		352
68.5		17449		658		367
69.5		17552		650		386
70.5		17228		746		394
71.5		17791		712		372
72.5		17519		760		438
73.5		17628		769		365
74.5		17906		761		427
75.5		17711		815		413
76.5		17969		788		456
77.5		18114		855		451
78.5		18038		783		427
79.5		18208		848		474
80.5		18336		842		470
81.5		17973		835		477
82.5		18002		860		446
83.5		17882		886		504
84.5		18125		899		470
85.5		18014		865		443
86.5		18232		920		531
87.5		17665		845		493
88.5		17967		817		484
89.5		17833		873		510
