Abs(theta)	Type0		Type1		Type23
0.5		159		1		1
1.5		514		5		3
2.5		872		12		8
3.5		1217		10		11
4.5		1493		20		15
5.5		1920		29		14
6.5		2338		23		20
7.5		2675		20		12
8.5		2992		42		21
9.5		3336		37		22
10.5		3631		29		31
11.5		3996		46		33
12.5		4482		52		38
13.5		4708		56		36
14.5		5113		59		30
15.5		5448		52		35
16.5		5832		57		43
17.5		6133		71		52
18.5		6392		74		53
19.5		6685		72		46
20.5		7001		87		63
21.5		7457		106		55
22.5		7754		91		50
23.5		7997		128		64
24.5		8366		120		71
25.5		8612		132		87
26.5		8926		138		93
27.5		9380		133		97
28.5		9551		158		98
29.5		9734		145		102
30.5		10012		151		91
31.5		10598		195		105
32.5		10722		183		124
33.5		10950		195		119
34.5		11106		205		122
35.5		11713		221		128
36.5		11818		244		131
37.5		12216		227		140
38.5		12198		244		138
39.5		12565		253		151
40.5		12844		264		165
41.5		12947		277		143
42.5		13170		297		164
43.5		13450		311		152
44.5		13952		309		180
45.5		14074		327		181
46.5		14198		373		191
47.5		14534		360		189
48.5		14647		350		209
49.5		14575		394		225
50.5		14901		375		209
51.5		14923		430		247
52.5		15475		469		233
53.5		15507		462		253
54.5		15590		448		274
55.5		15729		464		245
56.5		15786		485		269
57.5		16117		533		263
58.5		16345		525		265
59.5		16250		563		291
60.5		16434		560		335
61.5		16529		578		310
62.5		17152		652		304
63.5		17025		627		325
64.5		17231		617		318
65.5		17134		656		389
66.5		17328		645		348
67.5		17342		688		368
68.5		17476		690		400
69.5		17357		781		406
70.5		17565		734		393
71.5		17735		742		390
72.5		17698		697		417
73.5		17757		832		383
74.5		17816		823		412
75.5		17782		811		430
76.5		17962		835		444
77.5		18116		796		440
78.5		18126		799		450
79.5		18167		818		426
80.5		18222		865		465
81.5		18376		841		467
82.5		18211		802		489
83.5		18383		817		474
84.5		18028		877		464
85.5		17830		885		498
86.5		18173		884		514
87.5		18356		815		542
88.5		18255		923		543
89.5		17124		820		524
