Abs(theta)	Type0		Type1		Type23
0.5		498		10		2
1.5		1503		20		5
2.5		2498		26		16
3.5		3527		30		29
4.5		4535		47		25
5.5		5511		43		34
6.5		6538		59		40
7.5		7510		70		73
8.5		8481		92		67
9.5		9513		116		70
10.5		10484		123		73
11.5		11439		122		90
12.5		12382		145		97
13.5		13407		153		99
14.5		14405		182		96
15.5		15308		169		128
16.5		16248		190		115
17.5		17198		219		145
18.5		18112		239		156
19.5		19013		240		152
20.5		20036		244		198
21.5		20940		272		174
22.5		21804		301		190
23.5		22744		306		196
24.5		23633		341		211
25.5		24522		331		224
26.5		25415		363		228
27.5		26191		382		268
28.5		27044		430		244
29.5		27887		418		263
30.5		28772		466		315
31.5		29677		426		291
32.5		30319		545		327
33.5		31133		536		307
34.5		31962		575		348
35.5		32767		585		363
36.5		33428		638		411
37.5		34332		660		386
38.5		34922		704		432
39.5		35689		725		420
40.5		36402		759		428
41.5		36850		869		475
42.5		37607		868		482
43.5		38286		842		489
44.5		38931		939		556
45.5		39548		976		588
46.5		40285		974		594
47.5		40774		1078		568
48.5		41419		1097		607
49.5		42074		1098		614
50.5		42389		1188		612
51.5		43025		1126		638
52.5		43617		1200		742
53.5		44001		1257		708
54.5		44326		1441		740
55.5		44915		1372		775
56.5		45376		1428		793
57.5		45755		1486		811
58.5		46259		1528		808
59.5		46652		1595		833
60.5		47093		1619		806
61.5		47388		1663		870
62.5		47907		1688		901
63.5		48050		1729		935
64.5		48450		1759		974
65.5		48753		1814		976
66.5		48871		1880		1023
67.5		49149		1967		973
68.5		49558		1958		1022
69.5		49527		2143		1183
70.5		50009		2136		1070
71.5		50111		2106		1051
72.5		50301		2156		1125
73.5		50522		2260		1128
74.5		50689		2223		1172
75.5		50771		2294		1162
76.5		51014		2275		1220
77.5		51120		2364		1247
78.5		51288		2446		1235
79.5		51508		2358		1283
80.5		51374		2393		1269
81.5		51430		2411		1264
82.5		51526		2403		1330
83.5		51651		2413		1377
84.5		51690		2498		1367
85.5		51502		2338		1373
86.5		51672		2451		1474
87.5		51871		2484		1540
88.5		51570		2555		1434
89.5		49826		2361		1437
