Abs(theta)	Type0		Type1		Type23
0.5		248		2		0
1.5		747		7		6
2.5		1237		11		8
3.5		1740		14		14
4.5		2217		20		24
5.5		2735		22		19
6.5		3190		30		25
7.5		3696		39		25
8.5		4222		49		28
9.5		4680		51		43
10.5		5116		50		47
11.5		5668		58		42
12.5		6139		60		51
13.5		6620		65		62
14.5		7112		83		54
15.5		7564		74		74
16.5		8015		102		47
17.5		8561		94		73
18.5		8957		103		69
19.5		9450		117		87
20.5		9926		120		80
21.5		10306		161		83
22.5		10830		142		93
23.5		11190		163		109
24.5		11707		158		109
25.5		12208		168		94
26.5		12545		178		121
27.5		12987		179		137
28.5		13383		197		118
29.5		13789		210		131
30.5		14234		206		147
31.5		14615		244		168
32.5		15047		249		157
33.5		15399		269		161
34.5		15827		268		154
35.5		16161		307		186
36.5		16596		289		192
37.5		16882		326		244
38.5		17256		339		207
39.5		17697		304		232
40.5		17983		364		239
41.5		18298		384		193
42.5		18660		372		245
43.5		18915		470		249
44.5		19298		434		275
45.5		19538		434		276
46.5		19954		442		294
47.5		20092		476		277
48.5		20485		500		300
49.5		20822		512		289
50.5		21023		542		298
51.5		21158		592		359
52.5		21541		629		347
53.5		21786		629		360
54.5		21959		651		353
55.5		22291		666		367
56.5		22526		644		388
57.5		22609		728		389
58.5		22886		759		393
59.5		23050		749		429
60.5		23331		783		431
61.5		23428		803		439
62.5		23560		833		452
63.5		23846		857		445
64.5		23866		863		493
65.5		24112		931		476
66.5		24182		909		530
67.5		24249		893		525
68.5		24437		981		555
69.5		24669		994		545
70.5		24662		1006		536
71.5		24838		1056		558
72.5		24961		1022		568
73.5		25024		1042		564
74.5		24995		1018		610
75.5		25105		1100		607
76.5		25346		994		559
77.5		25214		1135		659
78.5		25201		1143		640
79.5		25367		1087		691
80.5		25430		1104		720
81.5		25481		1103		713
82.5		25473		1146		647
83.5		25499		1098		766
84.5		25357		1144		732
85.5		25450		1154		735
86.5		25551		1177		752
87.5		25413		1206		798
88.5		25548		1187		737
89.5		24506		1076		727
