Abs(theta)	Type0		Type1		Type23
0.5		499		4		0
1.5		1500		18		10
2.5		2482		17		26
3.5		3533		33		32
4.5		4503		59		38
5.5		5518		50		36
6.5		6494		64		51
7.5		7523		77		57
8.5		8527		69		51
9.5		9490		91		76
10.5		10444		119		88
11.5		11502		129		75
12.5		12422		128		81
13.5		13345		155		97
14.5		14330		155		111
15.5		15337		155		128
16.5		16313		189		139
17.5		17165		190		150
18.5		18159		221		128
19.5		19127		254		148
20.5		19990		258		163
21.5		20924		273		188
22.5		21825		302		182
23.5		22796		281		179
24.5		23589		331		217
25.5		24537		350		221
26.5		25354		378		248
27.5		26258		368		254
28.5		27116		415		275
29.5		27933		454		250
30.5		28743		430		309
31.5		29572		484		309
32.5		30478		476		313
33.5		31143		546		291
34.5		31934		641		328
35.5		32714		609		368
36.5		33469		628		374
37.5		34159		656		392
38.5		34860		625		425
39.5		35589		739		414
40.5		36287		810		456
41.5		36920		799		494
42.5		37776		791		470
43.5		38284		864		470
44.5		38942		923		473
45.5		39662		947		546
46.5		40349		991		569
47.5		40884		1007		618
48.5		41400		1055		549
49.5		42039		1067		607
50.5		42690		1094		618
51.5		42965		1166		647
52.5		43598		1186		695
53.5		44082		1274		673
54.5		44429		1366		731
55.5		44955		1436		740
56.5		45467		1394		748
57.5		45858		1455		814
58.5		46343		1509		793
59.5		46649		1582		867
60.5		46966		1627		914
61.5		47408		1703		881
62.5		47801		1707		905
63.5		48015		1747		915
64.5		48256		1886		946
65.5		48663		1815		975
66.5		48956		1907		1001
67.5		49223		1915		968
68.5		49428		1985		1039
69.5		49641		2057		1050
70.5		50065		2015		1065
71.5		50006		2128		1199
72.5		50527		2112		1184
73.5		50526		2254		1161
74.5		50762		2116		1190
75.5		51056		2215		1204
76.5		51011		2248		1199
77.5		51135		2268		1242
78.5		51267		2368		1288
79.5		51278		2325		1275
80.5		51628		2356		1301
81.5		51489		2392		1329
82.5		51700		2378		1365
83.5		51533		2390		1372
84.5		51850		2330		1318
85.5		51819		2435		1426
86.5		51740		2326		1484
87.5		51713		2400		1473
88.5		51520		2405		1500
89.5		49739		2248		1502
