Abs(theta)	Type0		Type1		Type23
0.5		243		2		1
1.5		748		5		4
2.5		1234		11		13
3.5		1742		22		13
4.5		2208		28		16
5.5		2710		30		23
6.5		3211		25		24
7.5		3712		41		33
8.5		4163		48		29
9.5		4697		43		36
10.5		5183		55		36
11.5		5662		55		48
12.5		6117		74		59
13.5		6637		59		58
14.5		7080		75		62
15.5		7591		92		67
16.5		8072		89		66
17.5		8536		95		77
18.5		8972		98		82
19.5		9494		90		110
20.5		9903		125		106
21.5		10344		131		94
22.5		10772		151		99
23.5		11295		148		99
24.5		11640		161		112
25.5		12141		160		136
26.5		12571		169		119
27.5		13002		192		126
28.5		13373		214		136
29.5		13838		191		139
30.5		14288		197		172
31.5		14634		226		156
32.5		15001		252		194
33.5		15458		270		157
34.5		15797		275		190
35.5		16201		272		171
36.5		16506		354		190
37.5		16890		308		217
38.5		17321		326		202
39.5		17682		354		211
40.5		17953		370		245
41.5		18309		363		247
42.5		18715		363		252
43.5		19000		419		246
44.5		19332		435		283
45.5		19540		482		295
46.5		19848		461		320
47.5		20111		526		301
48.5		20453		490		308
49.5		20777		540		318
50.5		20996		565		363
51.5		21318		570		321
52.5		21464		626		316
53.5		21783		621		382
54.5		22027		622		373
55.5		22224		677		370
56.5		22398		716		408
57.5		22761		658		423
58.5		22815		716		440
59.5		23047		723		446
60.5		23190		770		441
61.5		23420		791		459
62.5		23628		772		495
63.5		23738		852		501
64.5		24032		820		484
65.5		23981		890		497
66.5		24205		896		531
67.5		24350		949		509
68.5		24441		935		566
69.5		24497		945		572
70.5		24759		950		557
71.5		24699		1054		592
72.5		24893		1028		629
73.5		24911		1030		597
74.5		24886		1105		612
75.5		25141		1049		634
76.5		25203		1081		611
77.5		25252		1144		622
78.5		25330		1131		622
79.5		25371		1103		691
80.5		25285		1143		668
81.5		25474		1112		661
82.5		25535		1131		673
83.5		25501		1146		706
84.5		25381		1133		710
85.5		25122		1170		708
86.5		25468		1162		764
87.5		25087		1115		727
88.5		24286		1165		748
89.5		23146		1105		749
