Abs(theta)	Type0		Type1		Type23
0.5		241		2		2
1.5		744		4		3
2.5		1214		17		8
3.5		1716		11		13
4.5		2216		18		17
5.5		2696		23		15
6.5		3202		20		19
7.5		3633		31		28
8.5		4159		43		22
9.5		4628		33		29
10.5		5152		49		40
11.5		5627		56		34
12.5		6070		64		51
13.5		6567		64		54
14.5		7059		59		55
15.5		7495		92		61
16.5		7942		95		62
17.5		8443		92		58
18.5		8892		98		82
19.5		9357		107		74
20.5		9825		131		72
21.5		10269		121		96
22.5		10658		141		118
23.5		11118		149		103
24.5		11555		150		107
25.5		12023		167		117
26.5		12452		176		114
27.5		12866		167		133
28.5		13292		200		127
29.5		13685		211		126
30.5		14073		227		148
31.5		14474		238		160
32.5		14873		256		173
33.5		15240		263		161
34.5		15688		258		193
35.5		16024		281		174
36.5		16435		272		189
37.5		16776		305		217
38.5		17104		302		220
39.5		17474		331		213
40.5		17800		369		219
41.5		18059		374		255
42.5		18467		384		302
43.5		18733		416		256
44.5		19096		436		268
45.5		19409		427		287
46.5		19665		469		280
47.5		20014		483		283
48.5		20232		552		288
49.5		20558		492		320
50.5		20752		581		320
51.5		20977		592		348
52.5		21302		603		331
53.5		21525		587		353
54.5		21892		581		379
55.5		21992		633		394
56.5		22186		642		393
57.5		22400		719		407
58.5		22577		723		429
59.5		22832		739		432
60.5		22993		789		428
61.5		23068		815		440
62.5		23338		817		462
63.5		23486		849		481
64.5		23736		824		482
65.5		23851		840		482
66.5		23941		838		510
67.5		24006		922		500
68.5		24173		882		567
69.5		24315		964		551
70.5		24467		1000		558
71.5		24523		970		546
72.5		24596		966		547
73.5		24653		1072		618
74.5		24868		1026		617
75.5		24963		1040		555
76.5		24860		1137		629
77.5		24906		1133		628
78.5		25081		1066		649
79.5		25119		1081		668
80.5		25206		1099		636
81.5		25188		1157		631
82.5		25238		1160		692
83.5		25099		1114		743
84.5		25282		1121		717
85.5		25298		1185		747
86.5		25425		1130		741
87.5		24656		1141		750
88.5		24727		1145		759
89.5		24715		1134		754
