Abs(theta)	Type0		Type1		Type23
0.5		148		1		1
1.5		479		6		2
2.5		823		8		6
3.5		1180		12		14
4.5		1485		16		6
5.5		1844		10		17
6.5		2157		19		15
7.5		2491		20		16
8.5		2778		22		13
9.5		3096		34		26
10.5		3495		37		37
11.5		3809		40		24
12.5		4190		43		26
13.5		4334		46		33
14.5		4712		38		39
15.5		5146		56		41
16.5		5255		54		41
17.5		5681		62		47
18.5		5881		93		54
19.5		6238		80		50
20.5		6585		75		47
21.5		6761		85		64
22.5		7175		114		64
23.5		7599		106		63
24.5		7829		122		73
25.5		8184		107		64
26.5		8452		110		67
27.5		8680		134		87
28.5		8830		137		78
29.5		9175		147		94
30.5		9362		154		101
31.5		9654		140		95
32.5		10039		170		91
33.5		10103		177		112
34.5		10471		184		106
35.5		10567		182		113
36.5		10935		189		117
37.5		11153		229		162
38.5		11349		233		132
39.5		11871		237		134
40.5		11721		245		139
41.5		12149		251		151
42.5		12202		263		121
43.5		12549		265		150
44.5		12865		299		167
45.5		13104		311		188
46.5		13030		297		182
47.5		13537		363		199
48.5		13519		370		185
49.5		13682		369		206
50.5		13862		391		180
51.5		13709		383		205
52.5		14178		409		237
53.5		14434		455		222
54.5		14432		471		257
55.5		14678		474		238
56.5		14762		458		254
57.5		14987		490		281
58.5		15076		508		290
59.5		15189		485		279
60.5		15269		545		290
61.5		15468		527		285
62.5		15671		526		297
63.5		15813		573		316
64.5		15735		588		301
65.5		15755		566		305
66.5		15937		619		331
67.5		16122		629		322
68.5		16235		730		342
69.5		16260		686		355
70.5		16434		659		354
71.5		16424		641		370
72.5		16373		691		388
73.5		16437		746		359
74.5		16355		705		374
75.5		16812		758		373
76.5		16686		717		403
77.5		16985		723		416
78.5		16531		700		406
79.5		16593		769		383
80.5		16749		723		419
81.5		16737		777		444
82.5		16806		797		435
83.5		16794		769		462
84.5		16829		780		468
85.5		16739		806		422
86.5		16860		777		507
87.5		16525		814		409
88.5		16329		785		514
89.5		15392		722		445
