Abs(theta)	Type0		Type1		Type23
0.5		247		4		3
1.5		745		6		7
2.5		1244		8		9
3.5		1738		18		12
4.5		2224		16		15
5.5		2734		32		15
6.5		3228		29		19
7.5		3695		40		20
8.5		4200		33		36
9.5		4686		45		38
10.5		5173		50		37
11.5		5687		55		37
12.5		6148		76		50
13.5		6611		76		46
14.5		7110		64		68
15.5		7592		76		59
16.5		8037		96		60
17.5		8490		106		76
18.5		8980		107		89
19.5		9456		108		97
20.5		9892		114		95
21.5		10353		133		96
22.5		10789		141		99
23.5		11290		133		100
24.5		11643		155		110
25.5		12134		173		134
26.5		12598		166		105
27.5		12997		172		132
28.5		13405		193		131
29.5		13885		164		123
30.5		14277		209		135
31.5		14599		237		188
32.5		15055		232		168
33.5		15457		263		169
34.5		15728		278		218
35.5		16157		296		189
36.5		16529		302		200
37.5		16854		305		208
38.5		17286		296		214
39.5		17637		335		219
40.5		17942		345		232
41.5		18391		370		231
42.5		18621		409		258
43.5		19028		410		259
44.5		19334		425		267
45.5		19594		450		279
46.5		19938		481		275
47.5		20082		510		307
48.5		20466		529		293
49.5		20782		496		299
50.5		21073		536		339
51.5		21227		587		349
52.5		21553		564		359
53.5		21836		601		370
54.5		22012		644		368
55.5		22259		641		419
56.5		22518		670		386
57.5		22648		717		461
58.5		22864		700		449
59.5		23100		761		460
60.5		23264		782		453
61.5		23446		738		447
62.5		23557		809		474
63.5		23697		861		469
64.5		23952		865		492
65.5		24124		888		461
66.5		24215		886		507
67.5		24370		917		549
68.5		24436		931		534
69.5		24601		949		552
70.5		24675		975		550
71.5		24768		1008		584
72.5		24925		1021		587
73.5		25058		1021		615
74.5		25142		1019		640
75.5		25174		1056		592
76.5		25181		1114		628
77.5		25397		1039		691
78.5		25285		1142		676
79.5		25408		1128		654
80.5		25435		1102		682
81.5		25384		1146		697
82.5		25424		1215		713
83.5		25481		1099		739
84.5		25447		1161		716
85.5		25557		1172		724
86.5		25567		1159		757
87.5		25439		1186		775
88.5		25433		1215		835
89.5		24743		1157		773
