Abs(theta)	Type0		Type1		Type23
0.5		183		1		2
1.5		498		9		4
2.5		874		3		7
3.5		1246		14		17
4.5		1591		19		11
5.5		1935		25		16
6.5		2268		22		18
7.5		2492		29		11
8.5		3110		28		20
9.5		3333		34		15
10.5		3639		45		27
11.5		3968		33		32
12.5		4357		44		37
13.5		4721		49		37
14.5		4960		57		28
15.5		5467		46		41
16.5		5877		63		54
17.5		6025		87		50
18.5		6522		86		49
19.5		6787		81		54
20.5		7155		62		53
21.5		7450		113		56
22.5		7725		94		60
23.5		8048		113		71
24.5		8428		127		84
25.5		8408		129		79
26.5		8899		114		67
27.5		9073		111		94
28.5		9529		137		99
29.5		9814		158		100
30.5		10115		145		93
31.5		10450		172		107
32.5		10763		190		106
33.5		10944		189		119
34.5		11129		232		129
35.5		11707		204		127
36.5		11905		188		109
37.5		12101		210		129
38.5		12249		253		157
39.5		12392		270		153
40.5		13062		253		153
41.5		13101		278		162
42.5		13247		296		171
43.5		13382		303		189
44.5		13806		359		186
45.5		13925		355		172
46.5		14180		366		212
47.5		14325		368		197
48.5		14641		341		203
49.5		14977		378		222
50.5		14982		431		222
51.5		15305		434		232
52.5		15205		456		235
53.5		15749		454		231
54.5		15525		496		255
55.5		15927		513		277
56.5		16035		538		293
57.5		16158		530		265
58.5		16350		596		307
59.5		16682		553		290
60.5		16558		549		323
61.5		16687		590		353
62.5		16806		610		337
63.5		17004		676		315
64.5		17222		612		320
65.5		16906		695		327
66.5		17499		673		381
67.5		17228		729		385
68.5		17325		656		368
69.5		17547		701		362
70.5		17761		743		387
71.5		17788		719		363
72.5		17710		746		401
73.5		17677		740		433
74.5		17752		770		411
75.5		18004		800		414
76.5		18056		752		434
77.5		18076		800		424
78.5		17972		799		415
79.5		18048		827		445
80.5		18244		828		465
81.5		18375		860		434
82.5		18087		838		469
83.5		18174		889		459
84.5		18429		830		465
85.5		18183		898		494
86.5		17876		866		512
87.5		18339		810		480
88.5		18145		931		493
89.5		17596		778		548
