Nhist   Emin   Emax   EQType0E    meanErr   EQType0W    meanErr   EQType1E    meanErr   EQType1W    meanErr   EQType2E    meanErr   EQType2W    meanErr   EQType3E    meanErr   EQType3W    meanErr   EQType23E    meanErr   EQType23W    meanErr
   32    320    330    275.247  0.0542622    275.156  0.0544133     229.01    0.32007    229.029   0.321741    188.723     1.0955    187.708    1.10023    168.161   0.763007    168.463   0.758945     176.429   0.642784     176.148   0.640575
   33    330    340    285.011  0.0551508    285.028  0.0550466    238.365   0.332576      238.5   0.327061     196.48    1.18224    200.001    1.16415    177.148   0.780622    175.926    0.79285     184.658   0.670122     185.389   0.675726
   34    340    350    294.888  0.0558104    294.889   0.055783    248.443   0.332849    248.615   0.333201    206.773     1.2027    209.384    1.23025    184.557   0.835117    186.479   0.839705     193.385   0.704211     195.373   0.712121
   35    350    360    304.714  0.0565532    304.659  0.0566072    257.596   0.339114    258.676   0.337924    216.919    1.30834    215.843    1.34335    195.112   0.865298    193.276   0.884162     203.269   0.739649     201.815    0.75886
   36    360    370    314.611  0.0571976     314.56  0.0575401    267.587   0.348538    267.327   0.348806    227.001    1.36999    226.086     1.3919    203.599   0.904842    202.363    0.91374     212.298   0.774474      211.01   0.782527
   37    370    380    324.274  0.0582401     324.56  0.0580092    277.691   0.350785    277.376    0.35942    239.906    1.43901    234.539    1.48002    212.598   0.946349    213.737   0.932767     222.524   0.813361      221.25    0.80961
   38    380    390    334.132  0.0591822    334.166  0.0592541    287.139   0.358512    287.658   0.364092    246.325    1.49802    247.242    1.55307    222.282   0.965333    222.263   0.988642     230.828   0.831153     231.011   0.854846
   39    390    400    343.917  0.0600399    344.057  0.0600195    297.165   0.364584    297.282   0.362023    254.512    1.64994    254.439    1.64342    231.383    1.01493    231.433    1.01923      239.36   0.886189      239.33   0.886818
   40    400    410    353.754  0.0612785    353.762  0.0612794     307.08   0.369457    306.369   0.374323      266.6    1.68477    264.326    1.77103    239.395    1.07733    240.652    1.03381     248.863   0.930991     248.637   0.920808
   41    410    420    363.649  0.0620879    363.599  0.0622044    317.355   0.377119    316.194   0.386842    272.848    1.80465    277.539    1.78583    249.631    1.11085    247.266    1.14724     257.442   0.966648     257.376   0.989225
   42    420    430    373.419   0.063304    373.413   0.063353    326.454   0.391316    326.318   0.390673    288.716    1.83923    286.312    1.89643    257.865    1.17707    259.263    1.12483     268.083    1.01633     267.583   0.988758
   43    430    440    383.101  0.0649899    383.187  0.0646522    335.796   0.395605    335.665   0.396086    298.442    1.94759    295.119    2.04527    267.785    1.19058    270.287    1.18944     277.566    1.04247     277.948    1.05022
   44    440    450    392.941  0.0662647    393.024  0.0657289    345.808   0.407539    345.664    0.41155    306.054    2.13963    308.362    2.10667    278.302    1.22406    276.267    1.26841     286.768    1.08912     286.283    1.11566
   45    450    460     402.74  0.0673705     402.71  0.0677698    355.329   0.420611    355.453   0.418564     317.67    2.20262    318.274    2.19754    287.321    1.28744    286.535    1.33852     296.731    1.14179     296.402    1.17159
   46    460    470    412.447  0.0693085    412.479  0.0693294      365.3    0.43213    365.771   0.426657    331.419    2.36068    323.844    2.43935     298.38    1.29761    294.722    1.33694     308.146    1.17546      303.48    1.20785
   47    470    480    422.138  0.0709858    422.249  0.0710799    375.705   0.432598    375.495   0.438438    336.899    2.41613    336.592    2.37316    305.937     1.3957    304.621    1.40929     315.044    1.23742     314.204    1.24095
   48    480    490    432.069  0.0726214    432.067  0.0728089        386   0.451858    385.183   0.445377    344.349    2.68114    347.175     2.5063    312.686    1.47147    313.471    1.45206     321.595    1.32245     322.947    1.28665
   49    490    500    441.767  0.0751027     441.73  0.0750497    395.263   0.460112    395.432   0.463904    359.588    2.68559    362.488    2.53906    324.761    1.49879    321.864    1.54702     334.215    1.34266      332.87    1.36036
   50    500    510     451.54  0.0769175    451.632  0.0770531    405.106   0.473563    405.125   0.468466    366.183    3.05489    369.756     2.9095    331.584      1.584    337.241    1.56377     340.538    1.44395     346.041    1.41335
   51    510    520    461.206  0.0798495    461.261  0.0797959    414.103   0.489687    414.512   0.493102    378.783    2.95377    379.182    3.09251    347.089    1.65181    345.074    1.59415     355.413    1.46962     354.039    1.45994
   52    520    530    471.118  0.0820082    471.101  0.0821828    424.607   0.506365     424.25   0.514874    388.455    3.20792    388.476     3.2605    352.883    1.75461     351.21    1.75554     362.204    1.57717     361.187    1.59039
   53    530    540    480.815  0.0848588    480.884  0.0844498     433.95   0.536879    434.744   0.517657    398.081    3.20226    395.331    3.58282    361.376    1.78145    363.503    1.85649     370.735    1.59496     371.885    1.68874
   54    540    550    490.306  0.0882545    490.499  0.0880993    444.549   0.537206    443.505   0.549719    411.225    3.53673    408.401     3.9418    373.517    1.87977    372.367    1.81025     383.335     1.7092     380.644    1.69711
   55    550    560    500.365  0.0912371    500.347  0.0911017     453.05   0.572791    454.188   0.574257    417.815     3.8532    420.849    3.87778    384.716    1.86083     383.31    2.05558     392.273    1.71372     392.547    1.86005
   56    560    570    510.059  0.0951837     509.93  0.0952677    463.078   0.576853    464.363   0.597311    427.107    3.95731    426.886     4.0455    390.785    2.00105    394.171    2.05619     399.835    1.83618     402.171    1.87301
   57    570    580     519.72  0.0992659    519.787  0.0991917    473.816   0.609947    473.127   0.615857     434.93    4.22213     443.66    4.07967    402.592    2.16933    395.104    2.25818     410.358    1.96795     407.114    2.04892
   58    580    590    529.498    0.10348    529.436   0.103289    483.354   0.650532    483.156   0.642113    446.269    4.61947    458.653    3.89782    411.901    2.36371    409.551    2.32505       420.1    2.14762     421.358     2.0742
   59    590    600    539.059   0.108955    539.324   0.108438    493.785   0.669637    493.824    0.65833    458.464    5.58407     456.46    4.22908    418.743    2.44791     414.86    2.63993     427.611    2.32341     425.252    2.30209
   60    600    610    548.891   0.114243    548.855   0.114264    504.552   0.695572    503.481   0.685587    476.047    5.10177    465.041    5.24827    432.822    2.44772    433.806    2.45756     442.851    2.28783     440.833    2.27554
   61    610    620    558.711   0.120312    558.598   0.119866    513.609   0.725654    513.043   0.761841    486.017     5.3113    487.241     4.7226    436.483    2.84415    435.673    2.82947     446.998    2.59182     448.695    2.52988
   62    620    630    568.417   0.127094    568.218   0.128163    522.057    0.79229    523.904   0.771658    478.122    6.95377     492.31    5.87389    446.321    3.07478    451.462    2.90647     453.564    2.88998     460.929    2.68112
   63    630    640    577.816    0.13482    578.108   0.135616    533.784   0.809395    532.471   0.838891    507.273    5.60708     495.44    5.83862    461.663    2.89623    455.303    3.17597     471.386    2.65943     465.364    2.86333
   64    640    650    587.923   0.145112    587.734   0.144012    541.161   0.885255    542.472   0.867821    513.368    5.83996     512.97    6.14508     467.51    3.27094    475.336    3.15033     477.425    2.94994     483.807    2.87157
   65    650    660    597.425   0.154322     597.37   0.155786    552.345   0.948151    551.808   0.955223    521.891    7.76578     530.75    7.49141    481.291    3.48371    478.092    3.69643     489.708    3.26951      489.56    3.44665
   66    660    670    607.105   0.167482    606.808   0.167695    561.876    1.02781     563.08    1.03551    537.014    7.91907    519.447    7.53622    485.851    4.04995    483.183    3.90369     496.991    3.72949     492.458    3.56098
   67    670    680    616.614   0.183188    616.926   0.182387    572.381    1.08327    572.222    1.12648    541.286    7.97077    543.781      8.456    506.148    4.04121    496.928    4.05236     515.018    3.70764     506.322    3.77533
   68    680    690    626.627   0.201564    626.594    0.20275    581.193    1.24613    582.265    1.18684    542.675    11.4583    518.468    13.8816    518.153    4.59895    501.697    5.38264     522.508    4.32658      504.82    5.09867
   69    690    700    636.173   0.222118    636.321   0.219221     592.23    1.38337    590.473    1.33747    581.286    13.6869    560.727    14.3377    516.826    5.34778    517.815    5.50083     526.266    5.19869     526.589    5.37193
   70    700    710    645.423   0.249047    646.396   0.249591    599.821    1.60048    602.666    1.45922    570.556     9.9764    574.402    10.2203    524.913    6.15884    525.441    5.70881     532.812     5.5093     535.107    5.16661
   71    710    720     655.47   0.283077    655.798   0.286987    606.478    1.79034    613.128     1.7496    592.949    11.1774        564    13.6982     543.22    6.48431    544.342    6.86458     555.046    5.85018     547.453    6.19787
   72    720    730    664.638   0.336409    664.937   0.334812    621.431    1.96589    622.865    1.95993    559.062    39.4833    577.396     13.406    545.625    8.74762    537.979    7.70857     547.692    9.58702     545.996    6.87578
   73    730    740    674.486   0.404038    673.475   0.403048    625.007    2.58936    632.812    2.40522    582.222    31.5824    616.071    14.0805    548.063    8.46612    561.306    10.3874     551.906    8.39855     570.772     9.2217
   74    740    750     683.51   0.499248    684.271   0.507949    638.663    3.12336    641.069    3.11866     606.25    21.1194     611.25    10.3036    581.222    10.9154    565.645    12.8583     587.161     9.8156     573.041    11.2468
   75    750    760    693.535   0.693251    694.283   0.664504    645.732     4.0323    650.498    4.42697          0          0        536    64.6862    574.355    15.6427    555.417    25.2329     574.355    15.6427     551.196    24.3002
   76    760    770    703.399   0.988027    700.257    1.04603    656.701    7.88108    648.101    9.82474     666.25     15.026     646.25    45.0781     593.75    15.5763    567.273    25.8861     611.875    16.5463     579.423    24.2965
   77    770    780    707.287    2.45895    709.416    2.43431    675.761    12.1355    686.071    11.5771          0          0     706.25    27.4004          0          0     603.75   0.883883           0          0         655    29.0608
   78    780    790    699.167    9.59842          0          0          0          0          0          0          0          0          0          0          0          0          0          0           0          0           0          0
   79    790    800          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0          0           0          0           0          0
