oct	Asymm	Error	Pull
0	0.0487674	0.00193581	-0.508012
1	0.0522981	0.00192192	1.32539
2	0.0523322	0.00206259	1.25153
3	0.052995	0.00241264	1.34466
4	0.0523831	0.00269899	0.975285
5	0.0509907	0.00166122	0.74637
6	0.0488094	0.00167971	-0.560463
8	0.0511043	0.00182499	0.741639
10	0.0467327	0.00182283	-1.65573
11	0.0494159	0.00184952	-0.181082
12	0.0486335	0.00183164	-0.610008
13	0.0526588	0.00176505	1.64754
14	0.0491725	0.0017386	-0.332633
15	0.0487073	0.00151666	-0.688035
16	0.0501314	0.00156328	0.243453
17	0.0502246	0.001602	0.295746
18	0.0492748	0.00158767	-0.29982
19	0.0525738	0.00160065	1.76365
20	0.0518263	0.00154042	1.34735
21	0.0503321	0.00154736	0.375662
22	0.0502224	0.00153316	0.30759
23	0.047626	0.00250697	-0.847563
24	0.0494489	0.00154744	-0.195106
25	0.0471071	0.00163214	-1.61978
26	0.0509517	0.00154906	0.775234
27	0.0528765	0.00161635	1.93379
28	0.0491552	0.00237412	-0.250878
29	0.0463081	0.00154503	-2.22825
30	0.0500563	0.00187203	0.163184
31	0.0486839	0.00160924	-0.662993
32	0.0506409	0.00133374	0.66736
33	0.0502628	0.00139141	0.367961
34	0.050219	0.00137275	0.341056
35	0.0511187	0.00137396	0.995578
36	0.0493874	0.0013458	-0.270037
37	0.0499601	0.0013442	0.155694
38	0.0476572	0.00139129	-1.5048
39	0.0486278	0.0017827	-0.629952
40	0.0513296	0.00139262	1.13368
41	0.0467583	0.00161009	-1.8586
42	0.050516	0.00141409	0.541114
43	0.0479251	0.00143225	-1.27472
44	0.0476202	0.00140684	-1.51447
45	0.0498836	0.00143498	0.092534
46	0.0515914	0.00157549	1.16826
47	0.048636	0.00165544	-0.673426
48	0.0506654	0.00160901	0.568414
49	0.0491177	0.00162002	-0.390807
50	0.0511139	0.00194258	0.701688
51	0.0493246	0.00195201	-0.218347
52	0.0493498	0.00153854	-0.260647
53	0.0509873	0.00158034	0.782417
54	0.0483897	0.00161133	-0.844716
55	0.0470153	0.00166006	-1.64784
56	0.0494213	0.0016152	-0.204009
57	0.0499416	0.00160329	0.118996
58	0.0493048	0.00160081	-0.278619
