FG time = 3145.54	BG time = 485.96
5	0	0
15	0	0
25	0	0
35	0	0
45	0.00063582	0
55	0.00413283	0.00411556
65	0.0267045	0.00617334
75	0.100142	0.00205778
85	0.147192	0.0144045
95	0.180573	0.00617334
105	0.186295	0.0102889
115	0.198058	0.00823113
125	0.187885	0.00617334
135	0.201873	0.0123467
145	0.224127	0.00205778
155	0.220948	0.00205778
165	0.218086	0
175	0.23271	0.00205778
185	0.233664	0.00205778
195	0.245427	0.00411556
205	0.254646	0.00617334
215	0.239704	0.00617334
225	0.245109	0.00411556
235	0.238433	0
245	0.236843	0.00411556
255	0.238115	0.00205778
265	0.254964	0.00205778
275	0.246698	0.00411556
285	0.264183	0
295	0.226352	0.00205778
305	0.234618	0.00205778
315	0.243201	0
325	0.223809	0.00411556
335	0.238433	0.00205778
345	0.208231	0.00411556
355	0.225716	0.00411556
365	0.219358	0.00823113
375	0.198376	0
385	0.202827	0
395	0.211092	0.00205778
405	0.192971	0
415	0.181209	0
425	0.184388	0
435	0.188521	0
445	0.1704	0.00411556
455	0.167221	0.00205778
465	0.160863	0
475	0.150689	0.00411556
485	0.152279	0.00411556
495	0.131615	0
505	0.14147	0.00205778
515	0.133204	0
525	0.120806	0
535	0.124939	0
545	0.122077	0.00205778
555	0.103003	0
565	0.102367	0.00411556
575	0.0937835	0.00411556
585	0.0734372	0
595	0.0823387	0.00411556
605	0.0747089	0.00411556
615	0.0750268	0
625	0.0584955	0
635	0.0527731	0.00205778
645	0.0499119	0
655	0.0486402	0.00617334
665	0.0451432	0.00411556
675	0.0343343	0.00205778
685	0.0340164	0
695	0.0286119	0
705	0.0251149	0.00205778
715	0.0228895	0.00205778
725	0.0190746	0.00205778
735	0.0168492	0
745	0.0174851	0.00205778
755	0.0101731	0.00411556
765	0.00985521	0
775	0.0063582	0.00205778
785	0.00699402	0.00411556
795	0.00667611	0.00205778
805	0.00413283	0
815	0.00508656	0
825	0.00158955	0.00205778
835	0.00413283	0
845	0.00222537	0.00411556
855	0.00349701	0.00205778
865	0.00286119	0.00205778
875	0.00222537	0.00205778
885	0.0031791	0.00411556
895	0.00190746	0.00411556
905	0.00095373	0
915	0.00222537	0.00617334
925	0.00381492	0.00205778
935	0.0031791	0
945	0.00095373	0
955	0.00190746	0.00205778
965	0.00254328	0.00411556
975	0.00127164	0
985	0.00127164	0.00617334
995	0.00127164	0
1005	0.00063582	0
1015	0.00158955	0.00205778
1025	0.00254328	0.00205778
1035	0.00158955	0.00205778
1045	0.00095373	0.00205778
1055	0.00222537	0.00205778
1065	0.00127164	0
1075	0.00254328	0.00205778
1085	0.00127164	0.00205778
1095	0.00127164	0.00205778
1105	0.00190746	0.00411556
1115	0.00254328	0
1125	0.00254328	0
1135	0.00158955	0
1145	0.00063582	0
1155	0.00190746	0
1165	0.00063582	0.00411556
1175	0.00158955	0.00205778
1185	0.00190746	0.00411556
1195	0.00190746	0
