FG time = 3611.29	BG time = 543.736
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0	0
65	0	0
75	0	0
85	0	0
95	0	0
105	0	0
115	0	0
125	0.000276909	0
135	0.000553818	0
145	0.00249218	0
155	0.00138455	0
165	0.00193836	0
175	0.00276909	0
185	0.00415364	0
195	0.00581509	0
205	0.006092	0
215	0.00747655	0
225	0.00553818	0
235	0.00498436	0.00183913
245	0.0107995	0
255	0.00747655	0
265	0.00830727	0
275	0.00747655	0
285	0.00803036	0
295	0.00941491	0
305	0.00941491	0
315	0.00969182	0
325	0.0105225	0.00183913
335	0.00886109	0.00183913
345	0.00830727	0.00183913
355	0.00996873	0
365	0.0119071	0
375	0.0119071	0
385	0.00941491	0
395	0.0113533	0.00183913
405	0.00775346	0
415	0.00803036	0.00183913
425	0.00886109	0
435	0.00775346	0
445	0.00858418	0
455	0.00664582	0.00183913
465	0.00692273	0
475	0.00803036	0
485	0.00775346	0.00183913
495	0.00719964	0
505	0.00636891	0
515	0.00858418	0
525	0.00526127	0
535	0.00719964	0
545	0.00747655	0
555	0.00359982	0.00367826
565	0.00692273	0
575	0.00443055	0
585	0.00221527	0
595	0.00332291	0
605	0.00249218	0
615	0.00166145	0
625	0.00193836	0.00183913
635	0.00110764	0
645	0.00138455	0.00183913
655	0.00249218	0
665	0.00166145	0
675	0.00221527	0
685	0.00166145	0.00183913
695	0.00138455	0
705	0.000276909	0
715	0.000553818	0.00183913
725	0.00110764	0.00367826
735	0.00110764	0
745	0.000553818	0
755	0.000553818	0
765	0.000553818	0
775	0	0
785	0.000276909	0
795	0.000276909	0
805	0.000553818	0
815	0.000553818	0.00183913
825	0.000553818	0
835	0.00110764	0
845	0.000830727	0
855	0.000276909	0
865	0.000830727	0
875	0	0
885	0.000276909	0
895	0.000276909	0
905	0	0
915	0.000553818	0
925	0.000830727	0
935	0	0.00183913
945	0.000830727	0.00367826
955	0.000553818	0.00183913
965	0.000830727	0
975	0	0
985	0	0.00183913
995	0.000276909	0.00183913
1005	0.000830727	0
1015	0.000553818	0.00183913
1025	0.000830727	0.00183913
1035	0.000276909	0.00183913
1045	0	0.00183913
1055	0.000553818	0
1065	0.000276909	0
1075	0.000830727	0
1085	0.00110764	0
1095	0.000553818	0.00183913
1105	0.000276909	0.00183913
1115	0.000830727	0
1125	0.000553818	0
1135	0.000553818	0
1145	0.00138455	0
1155	0.000553818	0
1165	0.000553818	0
1175	0.00110764	0.00367826
1185	0.00166145	0.00183913
1195	0.000553818	0
