FG time = 3019.34	BG time = 615.41
5	0	0
15	0	0
25	0	0
35	0	0
45	0.00198719	0
55	0.0155663	0
65	0.0596157	0
75	0.106646	0
85	0.124862	0
95	0.137447	0
105	0.14639	0
115	0.148046	0
125	0.161956	0
135	0.163943	0
145	0.174873	0
155	0.169905	0
165	0.195076	0
175	0.195738	0
185	0.189446	0
195	0.203356	0
205	0.199381	0
215	0.191433	0
225	0.201369	0
235	0.189114	0
245	0.197063	0
255	0.204349	0
265	0.204018	0
275	0.197725	0
285	0.187458	0
295	0.203687	0
305	0.196401	0
315	0.211305	0
325	0.197725	0
335	0.184478	0
345	0.179178	0
355	0.164937	0
365	0.166593	0
375	0.172554	0
385	0.169242	0
395	0.161956	0
405	0.16593	0
415	0.148046	0
425	0.150695	0
435	0.144403	0
445	0.140759	0
455	0.136123	0
465	0.131155	0
475	0.126849	0
485	0.125855	0
495	0.107971	0
505	0.12155	0
515	0.103996	0
525	0.0957164	0
535	0.09671	0
545	0.0841244	0
555	0.0827996	0
565	0.0715389	0
575	0.0758445	0
585	0.0616029	0
595	0.0642525	0
605	0.0572973	0
615	0.0503422	0
625	0.043387	0
635	0.0463678	0
645	0.0413998	0
655	0.035107	0
665	0.0241775	0
675	0.0321263	0
685	0.0271583	0
695	0.0228527	0
705	0.0182159	0
715	0.00827996	0
725	0.0109296	0
735	0.00861116	0
745	0.00761757	0
755	0.00563037	0
765	0.00430558	0
775	0.00430558	0
785	0.00132479	0
795	0.00231839	0
805	0.000662397	0
815	0.000662397	0
825	0	0
835	0.000662397	0
845	0	0
855	0.000331198	0
865	0	0
875	0	0
885	0	0
895	0	0
905	0	0
915	0	0
925	0	0
935	0	0
945	0	0
955	0	0
965	0	0
975	0	0
985	0	0
995	0	0
1005	0	0
1015	0	0
1025	0	0
1035	0	0
1045	0	0
1055	0	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
