FG time = 1933.77	BG time = 493.75
5	0	0
15	0	0
25	0	0
35	0	0
45	0.00413699	0
55	0.0258562	0.0101266
65	0.062572	0.00810126
75	0.0967022	0.00607594
85	0.126695	0.0101266
95	0.149449	0.00810126
105	0.151	0.00810126
115	0.181511	0
125	0.177891	0.00607594
135	0.182028	0
145	0.198059	0.00810126
155	0.207367	0.00202531
165	0.228052	0.00202531
175	0.20685	0.00810126
185	0.200127	0
195	0.205815	0.00405063
205	0.213055	0
215	0.221329	0.00607594
225	0.210987	0.00202531
235	0.224949	0
245	0.213572	0.00202531
255	0.215641	0.00607594
265	0.221329	0.00202531
275	0.224432	0.00202531
285	0.229603	0
295	0.212021	0.00405063
305	0.220812	0
315	0.209435	0
325	0.20323	0.00405063
335	0.205298	0
345	0.194956	0.00202531
355	0.183579	0.00810126
365	0.179959	0
375	0.209435	0
385	0.167031	0
395	0.170651	0.00202531
405	0.177374	0.00202531
415	0.175822	0
425	0.153586	0
435	0.167548	0
445	0.143243	0
455	0.154103	0
465	0.162377	0.00405063
475	0.131867	0.00202531
485	0.133935	0
495	0.116353	0
505	0.123076	0
515	0.111699	0.00202531
525	0.101873	0
535	0.10601	0.00607594
545	0.0904967	0
555	0.0858426	0
565	0.0811885	0.00405063
575	0.0894625	0
585	0.0822228	0.00810126
595	0.0718803	0.00202531
605	0.0692946	0.00202531
615	0.058435	0
625	0.0496439	0
635	0.0449898	0
645	0.0475754	0
655	0.0387843	0
665	0.0398186	0
675	0.0325788	0
685	0.0299932	0.00202531
695	0.0237877	0.00202531
705	0.020685	0
715	0.0144795	0
725	0.0103425	0.00202531
735	0.016548	0
745	0.00982536	0.00405063
755	0.00775686	0.00202531
765	0.00930824	0.00405063
775	0.00672261	0
785	0.00413699	0
795	0.00413699	0
805	0.00361987	0
815	0.00361987	0.00405063
825	0.00103425	0.00202531
835	0.00155137	0
845	0.00361987	0.00202531
855	0.00103425	0
865	0.00155137	0.00202531
875	0.0020685	0
885	0.0020685	0
895	0.00258562	0.00202531
905	0.00103425	0.00202531
915	0.00155137	0
925	0.00155137	0
935	0.00310275	0.00202531
945	0.0020685	0.00202531
955	0.0020685	0
965	0.00155137	0
975	0.00155137	0
985	0.00103425	0.00405063
995	0	0
1005	0.00155137	0
1015	0.0020685	0
1025	0.00155137	0
1035	0.00103425	0
1045	0.00258562	0
1055	0.00258562	0
1065	0.00103425	0.00405063
1075	0.0020685	0
1085	0.00155137	0.00202531
1095	0.000517124	0.00202531
1105	0.00103425	0.00202531
1115	0.00258562	0
1125	0.00155137	0
1135	0.000517124	0
1145	0	0
1155	0.000517124	0
1165	0.00155137	0
1175	0.000517124	0.00202531
1185	0.00155137	0
1195	0.00155137	0.00405063
