FG time = 3313.13	BG time = 733.273
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0	0
65	0	0
75	0.000301829	0
85	0	0
95	0	0
105	0.000603658	0.00136375
115	0.00241463	0
125	0.00482927	0.0027275
135	0.00664024	0
145	0.00875304	0
155	0.00996036	0
165	0.0117713	0
175	0.010564	0
185	0.0120732	0.00409125
195	0.012375	0
205	0.010564	0.00136375
215	0.00875304	0.00136375
225	0.00814939	0
235	0.014186	0
245	0.00845122	0
255	0.00875304	0
265	0.00814939	0
275	0.00905487	0.00136375
285	0.00633841	0
295	0.00633841	0.00136375
305	0.00664024	0
315	0.00814939	0
325	0.00301829	0.00136375
335	0.00573475	0
345	0.00422561	0.00136375
355	0.00573475	0
365	0.00452744	0
375	0.00362195	0
385	0.00513109	0
395	0.00392378	0
405	0.00150915	0
415	0.0021128	0
425	0.0021128	0
435	0.0021128	0
445	0.00120732	0
455	0.00362195	0.00136375
465	0.00241463	0
475	0.00150915	0
485	0.00150915	0
495	0.00120732	0.00136375
505	0.00150915	0
515	0.000905487	0
525	0.0021128	0
535	0.00120732	0
545	0.00150915	0
555	0.000905487	0
565	0.000905487	0
575	0.000905487	0
585	0.000905487	0
595	0.000301829	0
605	0.000603658	0
615	0.000301829	0
625	0.000905487	0
635	0.000603658	0.00136375
645	0.000301829	0
655	0.00120732	0
665	0.000603658	0.00136375
675	0.00150915	0
685	0.000905487	0
695	0.000603658	0
705	0.000301829	0
715	0.000301829	0
725	0	0
735	0.000905487	0
745	0	0
755	0	0
765	0	0
775	0	0
785	0.000301829	0
795	0.000301829	0
805	0	0
815	0	0
825	0	0
835	0	0
845	0	0
855	0	0
865	0.000603658	0
875	0	0
885	0	0
895	0	0
905	0	0.00136375
915	0	0
925	0	0
935	0	0
945	0.000301829	0
955	0	0.00136375
965	0	0
975	0	0
985	0	0
995	0	0
1005	0.000301829	0
1015	0.000301829	0
1025	0	0
1035	0.000301829	0
1045	0	0
1055	0.000301829	0
1065	0	0
1075	0	0
1085	0	0
1095	0.000301829	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0.000301829	0
1175	0	0
1185	0	0
1195	0	0
