FG time = 3604.3	BG time = 485
5	0	0
15	0	0
25	0	0
35	0.00110979	0
45	0.0077685	0.00206186
55	0.0288544	0.00206186
65	0.106262	0.00824743
75	0.180618	0.00412371
85	0.220847	0.00824743
95	0.248592	0.00824743
105	0.262742	0.0103093
115	0.287712	0.00206186
125	0.312405	0.00206186
135	0.301584	0.00412371
145	0.316289	0.00206186
155	0.350137	0.00412371
165	0.338207	0.00618557
175	0.356796	0.00412371
185	0.354854	0.00618557
195	0.367616	0
205	0.379824	0.00206186
215	0.384541	0
225	0.354022	0.00206186
235	0.363455	0.00824743
245	0.379269	0
255	0.368171	0.00412371
265	0.366229	0
275	0.374553	0.00824743
285	0.364287	0.00206186
295	0.354299	0
305	0.372056	0.00206186
315	0.363177	0.00412371
325	0.355964	0
335	0.357351	0.00206186
345	0.351247	0.00206186
355	0.346808	0.00206186
365	0.335988	0
375	0.306301	0.00206186
385	0.325722	0.00206186
395	0.31074	0.00618557
405	0.330439	0
415	0.304914	0.00206186
425	0.302417	0.00412371
435	0.287157	0
445	0.265239	0
455	0.277446	0.00206186
465	0.273285	0.00206186
475	0.265516	0
485	0.264129	0.00206186
495	0.24776	0.00412371
505	0.224732	0.00206186
515	0.211692	0.00206186
525	0.216686	0.00206186
535	0.193935	0.00206186
545	0.192548	0
555	0.180618	0.00206186
565	0.175346	0.00206186
575	0.152318	0.00206186
585	0.137059	0.00618557
595	0.127348	0
605	0.11847	0
615	0.118747	0.00618557
625	0.107649	0.00412371
635	0.104875	0
645	0.0896152	0
655	0.0887828	0.00206186
665	0.0796271	0
675	0.0660322	0.00206186
685	0.0590961	0.00206186
695	0.0524374	0.00206186
705	0.049108	0.00412371
715	0.041617	0
725	0.0377327	0.00412371
735	0.0280221	0
745	0.0288544	0.00412371
755	0.0202536	0.00206186
765	0.018034	0
775	0.0138723	0
785	0.0127625	0.00206186
795	0.0110979	0.00206186
805	0.00665871	0.00206186
815	0.00582637	0
825	0.00582637	0.00412371
835	0.00138723	0.00412371
845	0.00388425	0.00412371
855	0.00305191	0
865	0.00332936	0
875	0.00388425	0
885	0.00194212	0.00412371
895	0.00277446	0.00206186
905	0.00138723	0
915	0.00166468	0.00618557
925	0.00138723	0.00412371
935	0.00110979	0.00618557
945	0.00221957	0.00206186
955	0.00249702	0
965	0.00194212	0
975	0.00138723	0
985	0.00138723	0
995	0.00194212	0.00618557
1005	0.00110979	0
1015	0.00110979	0
1025	0.00166468	0.00206186
1035	0.00166468	0
1045	0.00277446	0
1055	0.00249702	0.00206186
1065	0.00194212	0.00206186
1075	0.00221957	0
1085	0.00194212	0.00206186
1095	0.00138723	0.00618557
1105	0.00110979	0
1115	0.000832339	0
1125	0.00166468	0.00412371
1135	0.00166468	0
1145	0.00138723	0
1155	0.000832339	0
1165	0.00110979	0.00412371
1175	0.00388425	0
1185	0.00221957	0.00206186
1195	0.00138723	0
