FG time = 2405.43	BG time = 365.538
5	0	0
15	0	0
25	0	0
35	0	0
45	0.000415727	0
55	0.00748308	0
65	0.0444828	0
75	0.0864711	0
85	0.145089	0
95	0.163381	0
105	0.163381	0
115	0.179594	0
125	0.195807	0
135	0.207863	0
145	0.205785	0
155	0.214931	0
165	0.234886	0
175	0.230728	0
185	0.238211	0
195	0.247357	0
205	0.235717	0
215	0.251515	0
225	0.232807	0
235	0.236133	0
245	0.231975	0
255	0.23447	0
265	0.239874	0
275	0.218672	0
285	0.244447	0
295	0.22574	0
305	0.230728	0
315	0.222414	0
325	0.218672	0
335	0.224908	0
345	0.226155	0
355	0.213684	0
365	0.23738	0
375	0.223245	0
385	0.213268	0
395	0.204953	0
405	0.195807	0
415	0.177515	0
425	0.174605	0
435	0.174189	0
445	0.158808	0
455	0.178762	0
465	0.162549	0
475	0.158392	0
485	0.14592	0
495	0.133448	0
505	0.12846	0
515	0.127212	0
525	0.121808	0
535	0.110168	0
545	0.101022	0
555	0.09728	0
565	0.0918756	0
575	0.085224	0
585	0.0798195	0
595	0.0694264	0
605	0.071505	0
615	0.0681792	0
625	0.0552916	0
635	0.0457299	0
645	0.0407412	0
655	0.0407412	0
665	0.0336739	0
675	0.0266065	0
685	0.0261908	0
695	0.0257751	0
705	0.0191234	0
715	0.0153819	0
725	0.00789881	0
735	0.0103932	0
745	0.00873026	0
755	0.00498872	0
765	0.00748308	0
775	0.00457299	0
785	0.00249436	0
795	0.00249436	0
805	0.00124718	0
815	0.00124718	0
825	0.000415727	0
835	0.000415727	0
845	0.000415727	0
855	0	0
865	0	0
875	0	0
885	0	0
895	0	0
905	0	0
915	0	0
925	0	0
935	0	0
945	0	0
955	0	0
965	0	0
975	0	0
985	0	0
995	0	0
1005	0	0
1015	0	0
1025	0	0
1035	0	0
1045	0	0
1055	0	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
