FG time = 2884.4	BG time = 304.935
5	0	0
15	0	0
25	0	0
35	0.00242685	0.00327939
45	0.0166412	0
55	0.0343226	0.00655878
65	0.0714187	0
75	0.0769658	0.00327939
85	0.0956872	0.00327939
95	0.119609	0.00655878
105	0.131743	0.00327939
115	0.149771	0.0131176
125	0.151505	0.0229557
135	0.179587	0.00327939
145	0.176813	0.0229557
155	0.183747	0.00327939
165	0.188947	0.00327939
175	0.208016	0.00327939
185	0.218416	0
195	0.214603	0
205	0.22431	0.00655878
215	0.22431	0.00327939
225	0.232631	0
235	0.229857	0.00327939
245	0.22951	0.00327939
255	0.225003	0
265	0.22847	0.00327939
275	0.22015	0
285	0.237484	0
295	0.235058	0.00327939
305	0.239218	0.00327939
315	0.22431	0
325	0.230551	0
335	0.209402	0.00327939
345	0.215643	0
355	0.205589	0
365	0.209749	0.00327939
375	0.218416	0
385	0.200735	0
395	0.191028	0
405	0.201428	0.00327939
415	0.195188	0.00327939
425	0.189988	0.00327939
435	0.180627	0
445	0.175426	0.00327939
455	0.163639	0
465	0.165026	0.00327939
475	0.152891	0.00327939
485	0.157745	0.00327939
495	0.13937	0.00655878
505	0.136944	0
515	0.139717	0
525	0.118222	0
535	0.123076	0
545	0.116489	0
555	0.111982	0.00327939
565	0.0939537	0
575	0.0970739	0
585	0.0988074	0
595	0.0838996	0
605	0.0741922	0
615	0.0658716	0.00327939
625	0.0655249	0.00327939
635	0.0537374	0.00655878
645	0.0516572	0.00655878
655	0.049577	0
665	0.0402163	0
675	0.0384829	0.00327939
685	0.0322424	0.00327939
695	0.0329358	0
705	0.0221883	0.00327939
715	0.0183747	0.00327939
725	0.0173346	0
735	0.0145611	0.00327939
745	0.0121342	0
755	0.0104008	0
765	0.00658716	0.00327939
775	0.00658716	0.00327939
785	0.00589377	0
795	0.00381362	0
805	0.00242685	0.00655878
815	0.00520039	0
825	0.00242685	0.00327939
835	0.00173346	0.00983817
845	0.00208016	0.00327939
855	0.00208016	0
865	0.00138677	0.00655878
875	0.00381362	0
885	0.00138677	0
895	0.00104008	0.00327939
905	0.00104008	0
915	0.00208016	0
925	0.00173346	0
935	0.00138677	0
945	0.00104008	0
955	0.00173346	0
965	0.00104008	0.00327939
975	0.000693385	0.00327939
985	0.00138677	0
995	0.000693385	0
1005	0.000693385	0.016397
1015	0.00173346	0
1025	0.00242685	0
1035	0.000693385	0
1045	0.00104008	0
1055	0.00208016	0.00327939
1065	0.00208016	0.00327939
1075	0.00277354	0
1085	0.00173346	0
1095	0.00104008	0
1105	0.00138677	0
1115	0.00104008	0
1125	0.000346693	0.00655878
1135	0.00312023	0
1145	0.00138677	0.00327939
1155	0.00208016	0
1165	0.00138677	0
1175	0.00138677	0.00327939
1185	0.00173346	0
1195	0.00173346	0
