FG time = 2417.69	BG time = 494.538
5	0	0
15	0	0
25	0	0
35	0	0
45	0.000413618	0
55	0.0148902	0
65	0.0322622	0
75	0.0541839	0
85	0.0773465	0
95	0.095132	0
105	0.102164	0
115	0.110022	0
125	0.117881	0
135	0.124085	0
145	0.149316	0
155	0.153866	0
165	0.148489	0
175	0.154279	0
185	0.167515	0
195	0.169997	0
205	0.160897	0
215	0.172892	0
225	0.162965	0
235	0.161311	0
245	0.172479	0
255	0.17041	0
265	0.180337	0
275	0.161724	0
285	0.194814	0
295	0.180751	0
305	0.181578	0
315	0.171238	0
325	0.180751	0
335	0.167101	0
345	0.170824	0
355	0.169997	0
365	0.160897	0
375	0.139803	0
385	0.147248	0
395	0.144353	0
405	0.147661	0
415	0.150143	0
425	0.136494	0
435	0.126981	0
445	0.126567	0
455	0.127394	0
465	0.110849	0
475	0.110849	0
485	0.103818	0
495	0.0996818	0
505	0.0972001	0
515	0.0943048	0
525	0.0914095	0
535	0.0885141	0
545	0.0777601	0
555	0.075692	0
565	0.0732103	0
575	0.0665924	0
585	0.0649379	0
595	0.0591473	0
605	0.0525294	0
615	0.0483932	0
625	0.0392937	0
635	0.0355711	0
645	0.0363983	0
655	0.0347439	0
665	0.0219217	0
675	0.0239898	0
685	0.022749	0
695	0.0165447	0
705	0.0161311	0
715	0.014063	0
725	0.00992682	0
735	0.00909959	0
745	0.00744512	0
755	0.00620426	0
765	0.00289532	0
775	0.00289532	0
785	0.00124085	0
795	0.00206809	0
805	0.000827235	0
815	0.000827235	0
825	0	0
835	0	0
845	0	0
855	0.000413618	0
865	0	0
875	0	0
885	0	0
895	0	0
905	0	0
915	0	0
925	0	0
935	0	0
945	0	0
955	0	0
965	0	0
975	0	0
985	0	0
995	0	0
1005	0	0
1015	0	0
1025	0	0
1035	0	0
1045	0	0
1055	0	0
1065	0	0
1075	0	0
1085	0	0
1095	0	0
1105	0	0
1115	0	0
1125	0	0
1135	0	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
