FG time = 2593.04	BG time = 493.554
5	0	0
15	0	0
25	0	0
35	0	0
45	0.000771297	0
55	0.00848426	0
65	0.0289236	0.00607836
75	0.048206	0.00810448
85	0.0721162	0.0101306
95	0.0798292	0.00202612
105	0.0863852	0
115	0.0998829	0.00810448
125	0.107982	0.00202612
135	0.127264	0.00405224
145	0.131892	0.00405224
155	0.121865	0.00405224
165	0.126107	0.00405224
175	0.149246	0.00405224
185	0.155031	0
195	0.138448	0
205	0.146932	0.00202612
215	0.147318	0
225	0.15156	0.00405224
235	0.154645	0.00202612
245	0.150403	0.00202612
255	0.145775	0
265	0.15773	0
275	0.143847	0.00405224
285	0.154645	0.00405224
295	0.139605	0
305	0.153102	0
315	0.139605	0
325	0.153488	0
335	0.140376	0.00202612
345	0.146161	0
355	0.134591	0
365	0.135748	0
375	0.152331	0
385	0.147703	0.00202612
395	0.131506	0.00202612
405	0.128807	0
415	0.124179	0.00405224
425	0.119937	0.00202612
435	0.11878	0
445	0.111452	0
455	0.104896	0
465	0.107596	0.00202612
475	0.103354	0.00202612
485	0.102582	0.00202612
495	0.102197	0
505	0.0871565	0
515	0.0809861	0
525	0.0790579	0.00405224
535	0.0806005	0
545	0.0725019	0
555	0.062475	0
565	0.0694167	0
575	0.0632463	0
585	0.0516769	0.00202612
595	0.0435783	0.00202612
605	0.0489773	0
615	0.049363	0
625	0.0397218	0
635	0.0374079	0
645	0.0366366	0.00405224
655	0.0327801	0
665	0.0262241	0.00405224
675	0.0242958	0.00202612
685	0.0227533	0
695	0.0200537	0
705	0.0154259	0.00202612
715	0.0161972	0
725	0.0100269	0.00202612
735	0.00886991	0
745	0.0111838	0
755	0.00771297	0
765	0.00617037	0.00405224
775	0.00385648	0.00202612
785	0.00424213	0
795	0.00308519	0.00202612
805	0.00269954	0
815	0.00308519	0.00405224
825	0.00154259	0.00202612
835	0.00154259	0.00202612
845	0.000771297	0
855	0.00269954	0
865	0.00115694	0.00202612
875	0.00115694	0.00202612
885	0.000385648	0.00202612
895	0.00154259	0.00202612
905	0.000385648	0.00202612
915	0.00192824	0
925	0.000385648	0
935	0.00269954	0.00202612
945	0.00115694	0
955	0.00154259	0
965	0.00115694	0
975	0.00115694	0
985	0.00154259	0.00202612
995	0.000771297	0
1005	0.00192824	0.00607836
1015	0	0.00202612
1025	0.00115694	0.00202612
1035	0.000771297	0
1045	0.00192824	0.00202612
1055	0.00115694	0.00405224
1065	0.00269954	0
1075	0.00154259	0
1085	0.000385648	0
1095	0.00115694	0
1105	0	0
1115	0.00115694	0.00202612
1125	0.000385648	0
1135	0.00192824	0
1145	0.000385648	0
1155	0.00154259	0
1165	0.00154259	0.00202612
1175	0.000385648	0
1185	0.00115694	0.00202612
1195	0.000385648	0
