FG time = 3343.04	BG time = 485.444
5	0	0
15	0	0
25	0	0
35	0	0
45	0	0
55	0	0
65	0	0
75	0	0
85	0.000598257	0
95	0.000897386	0.00205997
105	0.00179477	0
115	0.00269216	0
125	0.00508519	0.00411994
135	0.0062817	0
145	0.00927299	0.00205997
155	0.00687996	0.00205997
165	0.00717909	0
175	0.0083756	0.00205997
185	0.00927299	0
195	0.0062817	0
205	0.00897386	0.00205997
215	0.00777734	0
225	0.00658083	0.00205997
235	0.00687996	0
245	0.00568344	0
255	0.00777734	0.00205997
265	0.00598257	0
275	0.00957212	0
285	0.00448693	0
295	0.00598257	0
305	0.00687996	0
315	0.00598257	0
325	0.00568344	0
335	0.00388867	0
345	0.00777734	0
355	0.00568344	0
365	0.00538432	0
375	0.00448693	0
385	0.00329041	0
395	0.00448693	0
405	0.00388867	0
415	0.00388867	0
425	0.00149564	0
435	0.00388867	0
445	0.00299129	0
455	0.00448693	0
465	0.00299129	0.00205997
475	0.00358954	0
485	0.00149564	0.00205997
495	0.00388867	0
505	0.00299129	0
515	0.00239303	0
525	0.0020939	0.00205997
535	0.00149564	0
545	0.00269216	0
555	0.00179477	0
565	0.00119651	0
575	0.00119651	0
585	0.000598257	0
595	0.00119651	0.00205997
605	0.000598257	0
615	0.000598257	0
625	0.00119651	0
635	0.000299129	0
645	0.000897386	0
655	0.000598257	0
665	0.000299129	0.00411994
675	0.000299129	0
685	0.000897386	0
695	0.000299129	0
705	0.000299129	0
715	0	0
725	0.000598257	0
735	0	0
745	0.000299129	0
755	0.000299129	0
765	0.000299129	0
775	0	0
785	0.000598257	0.00205997
795	0	0.00205997
805	0.000299129	0
815	0.000299129	0
825	0	0
835	0.000299129	0
845	0	0
855	0	0
865	0.000299129	0
875	0	0
885	0.000598257	0
895	0.000299129	0
905	0.000598257	0
915	0	0
925	0.000299129	0
935	0	0
945	0.000299129	0
955	0	0
965	0.000299129	0
975	0.000299129	0
985	0	0
995	0	0
1005	0.000299129	0
1015	0	0
1025	0	0
1035	0.000299129	0
1045	0	0
1055	0	0.00205997
1065	0.000598257	0
1075	0	0
1085	0	0
1095	0	0
1105	0.000299129	0
1115	0	0.00205997
1125	0	0
1135	0.000299129	0
1145	0	0
1155	0	0
1165	0	0
1175	0	0
1185	0	0
1195	0	0
