FG time = 2113.11	BG time = 313.642
5	0	0
15	0	0
25	0	0
35	0	0
45	0.000473236	0
55	0.0118309	0
65	0.0553686	0.00318835
75	0.11547	0.0063767
85	0.153802	0.0063767
95	0.188348	0.00956505
105	0.185982	0.00318835
115	0.184089	0
125	0.217215	0.0063767
135	0.221474	0.00956505
145	0.221474	0.0063767
155	0.235198	0.00318835
165	0.236145	0.0063767
175	0.257914	0.00318835
185	0.231886	0.00956505
195	0.239931	0.00318835
205	0.259333	0.00318835
215	0.267378	0.00318835
225	0.259333	0.00318835
235	0.242297	0.0063767
245	0.264066	0
255	0.248922	0
265	0.254601	0.00318835
275	0.24277	0
285	0.245136	0.00318835
295	0.258387	0.0063767
305	0.2281	0
315	0.236145	0
325	0.2281	0
335	0.237091	0
345	0.224787	0
355	0.212956	0.00318835
365	0.211536	0
375	0.22668	0.00318835
385	0.205858	0.00318835
395	0.215796	0
405	0.177463	0.0063767
415	0.172258	0.0063767
425	0.186928	0
435	0.183142	0
445	0.168945	0.00318835
455	0.173204	0.0063767
465	0.17699	0
475	0.169418	0.00318835
485	0.150016	0
495	0.145283	0.00318835
505	0.153802	0.0063767
515	0.140551	0.00318835
525	0.137238	0
535	0.123041	0.0063767
545	0.109791	0
555	0.11405	0.00318835
565	0.0965401	0
575	0.0932275	0.00318835
585	0.0861289	0.00956505
595	0.0908613	0
605	0.0847092	0
615	0.068146	0.00318835
625	0.058208	0
635	0.0534757	0.00956505
645	0.0548954	0
655	0.0492165	0.0063767
665	0.0449574	0.00318835
675	0.0378589	0.0127534
685	0.0288674	0
695	0.0293406	0
705	0.024135	0.00318835
715	0.01609	0.00318835
725	0.0184562	0
735	0.0156168	0.00318835
745	0.0141971	0
755	0.00757177	0
765	0.0108844	0.00956505
775	0.00899148	0.00318835
785	0.00757177	0.00318835
795	0.00520559	0
805	0.00378589	0
815	0.00331265	0.00318835
825	0.00141971	0.00318835
835	0.00189294	0.00318835
845	0.00283942	0.0063767
855	0.00189294	0.00318835
865	0.000946472	0
875	0.00141971	0.0063767
885	0.00283942	0
895	0.00236618	0
905	0.00331265	0.00318835
915	0.00236618	0
925	0.00283942	0.00318835
935	0.00283942	0
945	0.00141971	0.00318835
955	0.00141971	0
965	0.00331265	0
975	0.00141971	0
985	0.00141971	0.00318835
995	0.00141971	0
1005	0.00141971	0.00318835
1015	0.00236618	0
1025	0.00331265	0
1035	0.00520559	0.0063767
1045	0.00425912	0.00318835
1055	0.000946472	0
1065	0.00236618	0.0063767
1075	0.00141971	0.0063767
1085	0.00141971	0.00318835
1095	0.00236618	0.00956505
1105	0.00189294	0
1115	0.000946472	0
1125	0.00236618	0
1135	0.00236618	0.00318835
1145	0.000946472	0.00318835
1155	0.00331265	0.0063767
1165	0.000946472	0
1175	0.00141971	0
1185	0.00378589	0
1195	0.00236618	0.00318835
